ID,英文名稱,中文名稱,圖片,更新日期
2713993,aa-lava,渣状熔岩,,2016-10-24
2713994,aarite,砷锑镍矿；砒镍矿,,2016-10-24
2713995,abacus-bead stone,算珠石,,2016-10-24
2713996,Abbe refractometer,阿贝折射计,,2016-10-24
2713997,aberration,光行差{光学}；变体畸变[体]{生物},,2016-10-24
2713998,abichite,光线矿；斜水砷铜矿,,2016-10-24
2713999,abietinean,松杉的,,2016-10-24
2714000,abime,直立溶岩洞,,2016-10-24
2714001,ablation,冰融,,2016-10-24
2714002,ablatograph,冰融仪,,2016-10-24
2714003,Abney hand-level,亚伯尼手持水准仪,,2016-10-24
2714004,abraded platform,海浪蚀台,,2016-10-24
2714005,abrasion,磨蚀,,2016-10-24
2714006,abrasion platform,海蚀平台,,2016-10-24
2714007,abrazite,水钙沸石,,2016-10-24
2714008,absarokite,白榴基玄武岩,,2016-10-24
2714009,absolute age,绝对年龄；绝对年代,,2016-10-24
2714010,absorbing well,吸水井,,2016-10-24
2714011,abstraction,抽取；抽除,,2016-10-24
2714012,abukumalite,钇矽磷灰石；阿武隈石,,2016-10-24
2714013,abysmal,深海的；深成的,,2016-10-24
2714014,abyssal,深海的；深成的,,2016-10-24
2714015,abyssolith,深岩基,,2016-10-24
2714016,abyssopelagic,深海浮游的,,2016-10-24
2714017,acadialite,红菱沸石,,2016-10-24
2714018,Acadian,阿克殿期,,2016-10-24
2714019,Acadian orogeny,阿克殿造山运动,,2016-10-24
2714020,acanthite,螺状硫银矿,,2016-10-24
2714021,Acanthoceras,剌菊石属,,2016-10-24
2714022,Acanthograptus,剌笔石属,,2016-10-24
2714023,Acanthophyllum,针珊瑚属,,2016-10-24
2714024,Acanthopterygii,刺鳍目,,2016-10-24
2714025,acaustobiolith,非燃性生物岩,,2016-10-24
2714026,acausto-phytogenic rock,非燃性植物岩,,2016-10-24
2714027,accelerometer,加速度计,,2016-10-24
2714028,accessory constituent,副成份,,2016-10-24
2714029,accessory denticle,副铰齿,,2016-10-24
2714030,accessory denticula,副铰齿,,2016-10-24
2714031,accessory ejecta,副[喷发]抛出物,,2016-10-24
2714032,accessory element,次量元素,,2016-10-24
2714033,accessory ingredient,次要成分,,2016-10-24
2714034,accessory mineral,副矿物；次要矿物,,2016-10-24
2714035,accessory shock,副震,,2016-10-24
2714036,accessory socket,副铰窝,,2016-10-24
2714037,accidental ejecta,外体抛出物,,2016-10-24
2714038,acclinal valley,顺倾河谷,,2016-10-24
2714039,acclivity,上坡,,2016-10-24
2714040,accompanying mineral,伴生矿物,,2016-10-24
2714041,accordant fold,同向褶曲,,2016-10-24
2714042,accordant junction,协合汇流,,2016-10-24
2714043,accordant summit level,等高切峰面,,2016-10-24
2714044,accretion ridge,增积脊,,2016-10-24
2714045,accretion vein,增生脉,,2016-10-24
2714046,accretionary lapilli,增积火山泥砾,,2016-10-24
2714047,accretionary lava ball,增积熔岩球,,2016-10-24
2714048,accretionary limestone,堆积石灰岩,,2016-10-24
2714049,accumulated island,堆积岛,,2016-10-24
2714050,accumulator plant,元素富集植物,,2016-10-24
2714051,Acer,槭；枫,,2016-10-24
2714052,Acervularia,堆珊瑚属,,2016-10-24
2714053,ACF-diagram,铝钙铁三角相图；ＡCＦ三角相图,,2016-10-24
2714054,achavalite,硒铁矿,,2016-10-24
2714055,achnakaite,黑云倍长岩,,2016-10-24
2714056,achroite,无色电气石；白碧玺,,2016-10-24
2714057,acicular,针状,,2016-10-24
2714058,acicular bismuth,针硫铋铅矿,,2016-10-24
