ID,英文名稱,中文名稱,圖片,更新日期
2718191,8D technique,八D法,,2016-10-24
2718192,a priori probability,先验机率,,2016-10-24
2718193,a priori reason,先验理由,,2016-10-24
2718194,A scope (indicator),A示波器,,2016-10-24
2718195,Abbe number,阿贝数,,2016-10-24
2718196,ABC bucket,ABC吊桶,,2016-10-24
2718197,aberration,像差；光行差,,2016-10-24
2718198,aberwind,阿卑风,,2016-10-24
2718199,ablation,消冰；消冰量,,2016-10-24
2718200,ablation area,消冰区,,2016-10-24
2718201,abnormal,异常,,2016-10-24
2718202,abnormal lapse rate,异常直减率,,2016-10-24
2718203,abnormal propagation,异常传播,,2016-10-24
2718204,abnormal refraction,异常折射,,2016-10-24
2718205,abnormal weather,异常天气,,2016-10-24
2718206,abnormality,异常度；距平度,,2016-10-24
2718207,above normal,超常,,2016-10-24
2718208,Abraham's tree,亚伯拉罕树状卷云,,2016-10-24
2718209,abrego,阿勃列戈风,,2016-10-24
2718210,abroholos,亚伯落贺飑,,2016-10-24
2718211,Abrolhos squalls,亚伯落贺飑,,2016-10-24
2718212,abscissa,横坐标,,2016-10-24
2718213,absolute,绝对,,2016-10-24
2718214,absolute acceleration,绝对加速度,,2016-10-24
2718215,absolute altimeter,绝对高度计,,2016-10-24
2718216,absolute altitude,绝对高度,,2016-10-24
2718217,absolute angular momentum,绝对角动量,,2016-10-24
2718218,absolute annual range of temperature,温度绝对年较差,,2016-10-24
2718219,absolute black body,绝对黑体,,2016-10-24
2718220,absolute ceiling,绝对云幕高,,2016-10-24
2718221,absolute coordinate system,绝对坐标系,,2016-10-24
2718222,absolute drought,绝对干旱,,2016-10-24
2718223,absolute error,绝对误差,,2016-10-24
2718224,absolute extremes,绝对极端值,,2016-10-24
2718225,absolute frequency,绝对频率,,2016-10-24
2718226,absolute gradient current,绝对梯度流,,2016-10-24
2718227,absolute humidity,绝对湿度,,2016-10-24
2718228,absolute index of refraction,绝对折射率,,2016-10-24
2718229,absolute instability,绝对不稳度,,2016-10-24
2718230,absolute instrument,绝对仪器,,2016-10-24
2718231,absolute isohypse,绝对等高线,,2016-10-24
2718232,absolute linear momentum,绝对线性动量,,2016-10-24
2718233,absolute momentum,绝对动量,,2016-10-24
2718234,absolute monthly maximum temperature,绝对月最高温,,2016-10-24
2718235,absolute monthly minimum temperature,绝对月最低温,,2016-10-24
2718236,absolute motion,绝对运动,,2016-10-24
2718237,absolute parallax,绝对视差,,2016-10-24
2718238,absolute parcel stability,绝对气块稳度,,2016-10-24
2718239,absolute potential vorticity,绝对位涡,,2016-10-24
2718240,absolute pyrheliometer,绝对日射强度计,,2016-10-24
2718241,absolute reference frame,绝对坐标系,,2016-10-24
2718242,absolute refractive index,绝对折射率,,2016-10-24
2718243,absolute scale,绝对标度,,2016-10-24
2718244,absolute scale of temperature,温度绝对标度,,2016-10-24
2718245,absolute stability,绝对稳度,,2016-10-24
2718246,absolute standard barometer,绝对标准气压计,,2016-10-24
2718247,absolute temperature,绝对温度,,2016-10-24
2718248,absolute temperature scale,绝对温标,,2016-10-24
2718249,absolute topography,绝对地形,,2016-10-24
2718250,absolute unit,绝对单位,,2016-10-24
2718251,absolute vacuum,绝对真空,,2016-10-24
2718252,absolute value,绝对值,,2016-10-24
2718253,absolute variability,绝对变率,,2016-10-24
2718254,absolute velocity,绝对速度,,2016-10-24
2718255,absolute vorticity,绝对涡度,,2016-10-24
2718256,absolute zero,绝对零度,,2016-10-24
2718257,absorbent solution,吸收溶液,,2016-10-24
2718258,absorber,吸收器；吸收体；吸收剂,,2016-10-24
2718259,absorbing agent,吸收剂,,2016-10-24
2718260,absorbing function,吸收函数,,2016-10-24
2718261,absorbing medium,吸收介质,,2016-10-24
2718262,absorbing power,吸收能力,,2016-10-24
2718263,absorptance,吸收比,,2016-10-24
2718264,absorption,吸收,,2016-10-24
2718265,absorption band,吸收带,,2016-10-24
2718266,absorption coefficient,吸收系数,,2016-10-24
2718267,absorption cross-section,吸收截面,,2016-10-24
2718268,absorption factor,吸收率,,2016-10-24
2718269,absorption function,吸收函数,,2016-10-24
2718270,absorption hygrometer,吸收湿度计,,2016-10-24
2718271,absorption length,吸收长度,,2016-10-24
2718272,absorption line,吸收线,,2016-10-24
2718273,absorption liquid,吸收液体,,2016-10-24
2718274,absorption spectrometer,吸收分光计,,2016-10-24
2718275,absorption spectrum,吸收谱,,2016-10-24
2718276,absorptive index,吸收指数,,2016-10-24
2718277,absorptive power,吸收率；吸收能力,,2016-10-24
2718278,absorptivity,吸收率,,2016-10-24
2718279,accelerated erosion,加速侵蚀,,2016-10-24
2718280,accelerating force,加速力,,2016-10-24
2718281,acceleration,加速度,,2016-10-24
2718282,acceleration of gravity,重力加速度,,2016-10-24
2718283,acceleration potential,加速位,,2016-10-24
2718284,acceleration spectrum,加速谱,,2016-10-24
2718285,accelerator,加速器；催速剂,,2016-10-24
2718286,accelerometer,加速计,,2016-10-24
2718287,acceptance region,容许范围,,2016-10-24
2718288,accessory cloud,附属云,,2016-10-24
2718289,accidental error,偶然误差,,2016-10-24
2718290,acclimate,适应气候,,2016-10-24
2718291,acclimation,气候适应,,2016-10-24
2718292,acclimatization,气候适应,,2016-10-24
2718293,accommodation,调节,,2016-10-24
2718294,accommodation coefficient,调节系数,,2016-10-24
2718295,accretion,撞冻；撞并,,2016-10-24
2718296,accretion efficiency,撞冻效率；撞并效率,,2016-10-24
2718297,accumulated temperature,积温,,2016-10-24
2718298,accumulated temperature curve,积温曲线,,2016-10-24
2718299,accumulation,积冰量；累积,,2016-10-24
2718300,accumulation area,积冰区,,2016-10-24
2718301,accumulative raingauge,积雨器,,2016-10-24
2718302,accuracy,准确度；精密度,,2016-10-24
2718303,acdar,声达,,2016-10-24
2718304,acicular ice,丝状冰,,2016-10-24
2718305,acid deposition,酸性沉降,,2016-10-24
2718306,acid fog,酸雾,,2016-10-24
2718307,acid fume,酸烟,,2016-10-24
2718308,acid mist,酸霭,,2016-10-24
2718309,acid precipitation,酸性降水,,2016-10-24
2718310,acid rain,酸雨,,2016-10-24
2718311,acid-containing soot,含酸煤烟,,2016-10-24
2718312,acidification,酸化,,2016-10-24
2718313,acidity,酸度,,2016-10-24
2718314,aclinic line,磁倾赤道,,2016-10-24
2718315,acoustic (echo) sounder,声测器,,2016-10-24
2718316,acoustic (echo) sounding,声测,,2016-10-24
2718317,acoustic absorption,声吸收,,2016-10-24
2718318,acoustic admittance,声导纳,,2016-10-24
2718319,acoustic attenuation constant,声衰减常数,,2016-10-24
2718320,acoustic cloud,声反射云,,2016-10-24
2718321,acoustic detection and ranging (ACDAR),声达,,2016-10-24
2718322,acoustic Doppler sounder,都卜勒声测器,,2016-10-24
2718323,acoustic Doppler system,都卜勒声测系统,,2016-10-24
2718324,acoustic emission monitoring,声发射监测,,2016-10-24
2718325,acoustic fluctuation,声变差,,2016-10-24
2718326,acoustic fog,声雾,,2016-10-24
2718327,acoustic frequency generator,音频发生器,,2016-10-24
2718328,acoustic navigation system,声导航系统,,2016-10-24
2718329,acoustic pollution,声污染,,2016-10-24
2718330,acoustic pressure,声压,,2016-10-24
2718331,acoustic radar,声达,,2016-10-24
2718332,acoustic reflection,声反射,,2016-10-24
2718333,acoustic refraction,声折射,,2016-10-24
2718334,acoustic scattering,声散射,,2016-10-24
2718335,acoustic thermometer,声波温度计,,2016-10-24
2718336,acoustic velocity,声速,,2016-10-24
2718337,acoustic wave,声波,,2016-10-24
2718338,acoustical scintillation,声闪烁,,2016-10-24
2718339,acoustic-gravity wave,声重力波,,2016-10-24
2718340,acoustic-microwave radar,声微波雷达,,2016-10-24
2718341,acoustics,声学,,2016-10-24
2718342,acquisition,收集,,2016-10-24
2718343,acquisition range,收集范围,,2016-10-24
2718344,acrocyanosis,冻疮,,2016-10-24
2718345,actinic,光化[性],,2016-10-24
2718346,actinic absorption,光化吸收,,2016-10-24
2718347,actinic balance,热辐射计,,2016-10-24
2718348,actinic ray,光化射线,,2016-10-24
2718349,actinogram,日射自记图,,2016-10-24
2718350,actinograph,日射仪,,2016-10-24
2718351,actinometer,日射计,,2016-10-24
2718352,actinometry,日射测定术,,2016-10-24
2718353,actinon,锕射气,,2016-10-24
2718354,action center,活动中心,,2016-10-24
2718355,activation,活化,,2016-10-24
2718356,active (remote sensing) system,主动[遥测]系统,,2016-10-24
2718357,active (remote sensing) technique,主动[遥测]法,,2016-10-24
2718358,active accumulated temperature,有效积温,,2016-10-24
2718359,active anafront,活跃上滑锋,,2016-10-24
2718360,active aurora,活跃极光,,2016-10-24
2718361,active carbon,活性碳,,2016-10-24
2718362,active cavity radiometer (ACR),主动腔体辐射计,,2016-10-24
2718363,active center,活跃中心,,2016-10-24
2718364,active day,[地磁]扰动日,,2016-10-24
2718365,active front,活跃锋,,2016-10-24
2718366,active glacier,活冰川,,2016-10-24
2718367,active katafront,活跃下滑锋,,2016-10-24
2718368,active layer,活冻层,,2016-10-24
2718369,active monitoring system,主动监测系统,,2016-10-24
2718370,active monitoring technique,主动监测技术,,2016-10-24
2718371,active monsoon,活跃季风,,2016-10-24
2718372,active permafrost,活[跃]永冻层,,2016-10-24
2718373,active pollution,活性污染,,2016-10-24
2718374,active reaction,活性反应,,2016-10-24
2718375,active satellite,主动卫星,,2016-10-24
2718376,active scattering aerosol spectrometer probe (ASASP),主动气[悬]胶径谱仪,,2016-10-24
2718377,active solar region,太阳活动区,,2016-10-24
2718378,active steering,主动驶引,,2016-10-24
2718379,active sun,活跃太阳,,2016-10-24
2718380,active surface,活动面,,2016-10-24
2718381,active volcano,活火山,,2016-10-24
2718382,activity of a foyer of atmospherics,天电源强度,,2016-10-24
2718383,actual elevation,实际高度,,2016-10-24
2718384,actual evapotranspiration,有效蒸散[量],,2016-10-24
2718385,actual flying weather,实际飞行天气,,2016-10-24
2718386,actual pressure,实际气压,,2016-10-24
2718387,actual time of observation,实际观测时间,,2016-10-24
2718388,acute pollution,急性污染,,2016-10-24
2718389,adaptation brightness,适应亮度,,2016-10-24
2718390,adaptation illuminance,适应亮度,,2016-10-24
2718391,adaptation level,适应亮度,,2016-10-24
2718392,adaptation luminance,适应亮度,,2016-10-24
2718393,adaptation process,适应过程,,2016-10-24
2718394,adaptive control,自适应控制,,2016-10-24
2718395,adaptive disease,水土病,,2016-10-24
2718396,adaptive filtering,自适应滤波,,2016-10-24
2718397,adfreezing,冰结,,2016-10-24
2718398,adhesion,附著力,,2016-10-24
2718399,adiabat,绝热线,,2016-10-24
2718400,adiabatic,绝热,,2016-10-24
2718401,adiabatic approximation,绝热近似,,2016-10-24
2718402,adiabatic ascending,绝热上升,,2016-10-24
2718403,adiabatic atmosphere,绝热大气,,2016-10-24
2718404,adiabatic change,绝热变化,,2016-10-24
2718405,adiabatic chart,绝热图,,2016-10-24
2718406,adiabatic compression,绝热压缩,,2016-10-24
2718407,adiabatic condensation,绝热凝结,,2016-10-24
2718408,adiabatic condensation point,绝热凝结点,,2016-10-24
2718409,adiabatic condensation pressure,绝热凝结气压,,2016-10-24
2718410,adiabatic condensation temperature,绝热凝结温度,,2016-10-24
2718411,adiabatic condition,绝热状态,,2016-10-24
2718412,adiabatic cooling,绝热冷却,,2016-10-24
2718413,adiabatic curve,绝热曲线,,2016-10-24
2718414,adiabatic diagram,绝热图,,2016-10-24
2718415,adiabatic effect,绝热效应,,2016-10-24
2718416,adiabatic equation,绝热方程,,2016-10-24
2718417,adiabatic equilibrium,绝热平衡,,2016-10-24
2718418,adiabatic equivalent temperature,绝热相当温度,,2016-10-24
2718419,adiabatic expansion,绝热膨胀,,2016-10-24
2718420,adiabatic gradient,绝热梯度,,2016-10-24
2718421,adiabatic invariant,绝热不变量,,2016-10-24
2718422,adiabatic lapse rate,绝热直减率,,2016-10-24
2718423,adiabatic law,绝热定律,,2016-10-24
2718424,adiabatic liquid water content,绝热液态水含量,,2016-10-24
2718425,adiabatic motion,绝热运动,,2016-10-24
2718426,adiabatic process,绝热过程,,2016-10-24
2718427,adiabatic psychrometer,绝热干湿计,,2016-10-24
2718428,adiabatic region,绝热区,,2016-10-24
2718429,adiabatic saturation point,绝热饱和点,,2016-10-24
2718430,adiabatic saturation pressure,绝热饱和气压,,2016-10-24
2718431,adiabatic saturation temperature,绝热饱和温度,,2016-10-24
2718432,adiabatic sinking,绝热下捵沈,,2016-10-24
2718433,adiabatic temperature changes,绝热温度变化,,2016-10-24
2718434,adiabatic trail,绝热凝结尾,,2016-10-24
2718435,adiabatic warming,绝热增温,,2016-10-24
2718436,adiabatic wet-bulb temperature,绝热湿球温度,,2016-10-24
2718437,adjacent field-of-view method,相邻视场法,,2016-10-24
2718438,adjoint,伴随,,2016-10-24
2718439,adjoint assimilation,伴随同化,,2016-10-24
2718440,adjoint equation,伴随方程,,2016-10-24
2718441,adjoint method,伴随法,,2016-10-24
2718442,adjoint models,伴随模式,,2016-10-24
2718443,adjoint sensitivity,伴随敏感度,,2016-10-24
2718444,adjoint technique,伴随法,,2016-10-24
2718445,adjustable cistern barometer,调槽气压计,,2016-10-24
2718446,adjustment,校正；调整,,2016-10-24
2718447,adjustment of long wave,长波调整,,2016-10-24
2718448,adjustment process,调整过程,,2016-10-24
2718449,adjustment time,调整时间,,2016-10-24
2718450,admissible error,容许误差,,2016-10-24
2718451,adret,[山]向阳面,,2016-10-24
2718452,adsorbent,吸附剂,,2016-10-24
2718453,adsorption,吸附[作用],,2016-10-24
2718454,advanced atmospheric sounding and imaging radiometer (AASIR),先进大气探测成像辐射计,,2016-10-24
2718455,advanced cloud wind system,先进云风系统,,2016-10-24
2718456,advanced microwave sounding unit (AMSU),先进微波探测装置,,2016-10-24
2718457,advanced moisture and temperature sounder (AMTS),先进温湿探测器,,2016-10-24
2718458,advanced TIROS-N,先进泰洛斯N卫星,,2016-10-24
2718459,advanced vidicon camera system,先进光电摄影系统,,2016-10-24
2718460,advection,平流,,2016-10-24
2718461,advection change,平流变化,,2016-10-24
2718462,advection effect,平流效应,,2016-10-24
