ID,英文名稱,中文名稱,圖片,更新日期
2720353,A number,[原子]质量数,,2016-10-24
2720354,A star,A型星,,2016-10-24
2720355,ab urbe condita (a.u.c.),罗马建城纪年,,2016-10-24
2720356,Abbe comparator,阿贝比长仪,,2016-10-24
2720357,Abell Catalog,艾伯耳星系团表,,2021-12-09
2720358,Abell cluster,艾伯耳星系团,,2016-10-24
2720359,Abell richness classes,艾伯耳丰级{星系团},,2016-10-24
2720360,aberration,像差；光行差,,2016-10-24
2720361,aberration constant,光行差常数,,2016-10-24
2720362,aberration ellipse,光行差椭圆,,2016-10-24
2720363,aberration of light,光行差,,2016-10-24
2720364,aberration shift,光行差位移,,2016-10-24
2720365,ablation,烧蚀{流星},,2016-10-24
2720366,abridged armilla,简仪,,2016-10-24
2720367,absolute age,绝对年龄,,2016-10-24
2720368,absolute black body,绝对黑体,,2016-10-24
2720369,absolute bolometric magnitude,绝对全波段星等；绝对热星等,,2016-10-24
2720370,absolute brightness,绝对亮度,,2016-10-24
2720371,absolute error,绝对误差,,2016-10-24
2720372,absolute gradient,绝对梯度,,2016-10-24
2720373,absolute height,真高度；绝对高度；绝对高程,,2016-10-24
2720374,absolute magnitude,绝对星等,,2016-10-24
2720375,absolute magnitude effect,绝对星等效应,,2016-10-24
2720376,absolute parallax,绝对视差,,2016-10-24
2720377,absolute perturbation,绝对摄动,,2016-10-24
2720378,absolute photoelectric magnitude,绝对光电星等,,2016-10-24
2720379,absolute photographic magnitude,绝对照相星等,,2016-10-24
2720380,absolute photometry,绝对测光；绝对光度学,,2016-10-24
2720381,absolute photovisual magnitude,绝对拟视星等；绝对仿视星等,,2016-10-24
2720382,absolute proper motion,绝对自行,,2016-10-24
2720383,absolute radiometric magnitude,绝对辐射星等,,2016-10-24
2720384,absolute space,绝对空间,,2016-10-24
2720385,absolute spectrophotometric gradient,绝对分光光度梯度,,2016-10-24
2720386,absolute temperature,绝对温度,,2016-10-24
2720387,absolute time,绝对时间,,2016-10-24
2720388,absolute visual magnitude,绝对目视星等,,2016-10-24
2720389,absolute zero,绝对零度；绝对零点,,2016-10-24
2720390,absorber,吸收体；吸收器,,2016-10-24
2720391,absorption,吸收,,2016-10-24
2720392,absorption band,吸收带,,2016-10-24
2720393,absorption coefficient,吸收系数,,2016-10-24
2720394,absorption edge,吸收边限,,2016-10-24
2720395,absorption line,吸收[谱]线,,2016-10-24
2720396,absorption spectrum,吸收[光]谱,,2016-10-24
2720397,abundance,丰度；丰存度；丰盛度,,2016-10-24
2720398,abundance anomaly,丰度异常,,2016-10-24
2720399,accelerated motion,加速运动,,2016-10-24
2720400,acceleration,加速度,,2016-10-24
2720401,acceleration of gravity,重力加速度,,2016-10-24
2720402,accelerometer,加速度计,,2016-10-24
2720403,accidental connection,偶然关联,,2016-10-24
2720404,accidental error,偶[然误]差,,2016-10-24
2720405,accommodation,调节,,2016-10-24
2720406,accreting binary,吸积双星,,2016-10-24
2720407,accretion,吸积,,2016-10-24
2720408,accretion column,吸积柱,,2016-10-24
2720409,accretion disk,吸积盘,,2016-10-24
2720410,accumulation,累积,,2016-10-24
2720411,accuracy,准确度,,2016-10-24
2720412,Achernar (α Eri),水委一；波江[座]α[星],,2016-10-24
2720413,Achilles,阿基里斯[小行星]；588号小行星,,2016-10-24
2720414,achondrite,无[球]粒陨石,,2016-10-24
2720415,achromat,消色差透镜,,2016-10-24
2720416,achromatic eyepiece,消色差目镜,,2016-10-24
2720417,achromatic objective,消色差物镜,,2016-10-24
2720418,achromatic telescope,消色差望远镜,,2016-10-24
2720419,achromatism,消色差,,2016-10-24
2720420,acicular nebula,针状星云,,2016-10-24
2720421,acoustic mode,声模,,2016-10-24
