ID,英文名稱,中文名稱,圖片,備註,更新日期
2721232,A/E ratio,A/E比{吸收发射比},nan,太空名词,2016-10-24
2721233,ablation of meteorites,陨石烧蚀,nan,太空名词,2016-10-24
2721234,absolute scintillation efficiency,绝对闪烁效率,nan,太空名词,2016-10-24
2721235,absolute solar flux,绝对太阳通量,nan,太空名词,2016-10-24
2721236,absorption index,吸收指数,nan,太空名词,2016-10-24
2721237,acceptance cones,接纳锥,nan,太空名词,2016-10-24
2721238,A-coefficient,爱因斯坦系数,nan,太空名词,2016-10-24
2721239,acoustic frequency,声频,nan,太空名词,2016-10-24
2721240,acoustic thermometer,声波温度计,nan,太空名词,2016-10-24
2721241,acoustic waves,声波,nan,太空名词,2016-10-24
2721242,acoustic-gravity waves,声重力波,nan,太空名词,2016-10-24
2721243,acquisition and tracking radar,撷取与追踪雷达,nan,太空名词,2016-10-24
2721244,active area,活跃区,nan,太空名词,2016-10-24
2721245,active cavity radiometer,主动腔体辐射计,nan,太空名词,2016-10-24
2721246,active day,活跃日,nan,太空名词,2016-10-24
2721247,active element,主动元件,nan,太空名词,2016-10-24
2721248,active experiment,主动实验,nan,太空名词,2016-10-24
2721249,active period,活跃期,nan,太空名词,2016-10-24
2721250,active prominence region,活跃日珥区,nan,太空名词,2016-10-24
2721251,adiabatic acceleration,绝热加速,nan,太空名词,2016-10-24
2721252,adiabatic condition,绝热条件,nan,太空名词,2016-10-24
2721253,adiabatic heating,绝热加热,nan,太空名词,2016-10-24
2721254,adiabatic index,绝热指数,nan,太空名词,2016-10-24
2721255,adiabatic invariance,绝热不变性,nan,太空名词,2016-10-24
2721256,adiabatic variation,绝热变化,nan,太空名词,2016-10-24
2721257,advance of the perihelion,近日点前移,nan,太空名词,2016-10-24
2721258,AE index,AE指数{极区电喷流指数},nan,太空名词,2016-10-24
2721259,aeroballistics,航空弹道学,nan,太空名词,2016-10-24
2721260,aerobiology,高空生物学,nan,太空名词,2016-10-24
2721261,aerodynamic drag,气动阻力,nan,太空名词,2016-10-24
2721262,aerodynamics,[空]气动力学,nan,太空名词,2016-10-24
2721263,aerosols,悬浮微粒；气[溶]胶,nan,太空名词,2016-10-24
2721265,aerospace plane,太空飞机,nan,太空名词,2016-10-24
2721267,air drag,空气拖曳；空气阻力,nan,太空名词,2016-10-24
2721268,airborne survey,航空测量,nan,太空名词,2016-10-24
2721269,air-flow,气流,nan,太空名词,2016-10-24
2721270,airglow photodissociation,气晖光解[离],nan,太空名词,2016-10-24
2721271,airglow resonance scattering,气晖共振散射,nan,太空名词,2016-10-24
2721272,air-space,空域,nan,太空名词,2016-10-24
2721273,air-sphere,气团,nan,太空名词,2016-10-24
2721274,airstream,气流,nan,太空名词,2016-10-24
2721275,AKR {=Auroral Kilometric Radiation},极光千米波辐射,nan,太空名词,2016-10-24
2721276,albedo electron,反照电子,nan,太空名词,2016-10-24
2721277,Alfven Mach number,阿尔文马赫数,nan,太空名词,2016-10-24
2721278,Alfven speed,阿尔文速率,nan,太空名词,2016-10-24
