ID,英文名稱,中文名稱,圖片,更新日期
2717248,abiotic,非生物带,,2016-10-24
2717249,ablation,剥蚀,,2016-10-24
2717250,abrasion,磨蚀,,2016-10-24
2717251,abrupt wave,猝发波,,2016-10-24
2717252,absolute humidity,绝对湿度,,2016-10-24
2717253,absolute viscosity,绝对黏滞度,,2016-10-24
2717254,absorption band,吸收带,,2016-10-24
2717255,absorption loss,吸收损失；入渗损失,,2016-10-24
2717256,abstraction,抽汲,,2016-10-24
2717257,abyssinian well,铸管井,,2016-10-24
2717258,accelerated flow,加速流,,2016-10-24
2717259,acceptance capacity,涵容能力,,2016-10-24
2717260,accretion,地下水补注,,2016-10-24
2717261,accumulation,累积；堆积,,2016-10-24
2717262,accumulative precipitation gauge,累积降水量计,,2016-10-24
2717263,accuracy,正确度,,2016-10-24
2717264,acid rain,酸雨,,2016-10-24
2717265,acidity of water,水的酸度,,2016-10-24
2717266,acidizing,酸化,,2016-10-24
2717267,active basin area,有效流域面积,,2016-10-24
2717268,active sensing system,主动感测系统,,2016-10-24
2717269,actual density of soil,土壤实际密度,,2016-10-24
2717270,actual evaporation,实际蒸发量,,2016-10-24
2717271,actual evapotranspiration,实际蒸发散量,,2016-10-24
2717272,adhesive water,吸附水,,2016-10-24
2717273,admissible concentration limit,最大容许浓度；容许浓度限值,,2016-10-24
2717274,advancing front,湿润锋,,2016-10-24
2717275,advection,平流,,2016-10-24
2717276,aeration,曝气,,2016-10-24
2717277,aerobic condition,好氧状态,,2016-10-24
2717278,affluent,支流,,2016-10-24
2717279,afflux,壅水,,2016-10-24
2717280,aggradation,淤积,,2016-10-24
2717281,aggressive water,溶蚀水,,2016-10-24
2717282,air humidity,空气湿度,,2016-10-24
2717283,air moisture,空气水分,,2016-10-24
2717284,air-entry value,临界毛细管水头,,2016-10-24
2717285,air-line correction,测绳水上部分偏移校正,,2016-10-24
2717286,alarm level,警戒水位,,2016-10-24
2717287,albedo,反照率；反射率,,2016-10-24
2717288,algal bloom,藻华,,2016-10-24
2717289,alkaline water,碱性水,,2016-10-24
2717290,alkalinity of water,碱度,,2016-10-24
2717291,alluvial,冲积,,2016-10-24
2717292,alluvial channel,冲积河槽,,2016-10-24
2717293,alluvial deposit,冲积层,,2016-10-24
2717294,alluvial fan,冲积扇,,2016-10-24
2717295,alluvial plain,冲积平原,,2016-10-24
2717296,alluvium,冲积层,,2016-10-24
2717297,altitude,高程；海拔,,2016-10-24
2717298,anaerobic condition,厌氧状态,,2016-10-24
2717299,analogue,类比,,2016-10-24
2717300,"analogue model, analog model (A)",类比模式,,2016-10-24
2717301,analytical hydrology,分析水文学,,2016-10-24
2717302,anchor ice,底冰,,2016-10-24
2717303,anemometer,风速计,,2016-10-24
2717304,angularity correction,角度校正,,2016-10-24
2717305,annual exceedence series,年超越值序列,,2016-10-24
2717306,annual flood,年洪水,,2016-10-24
2717307,annual flow,年流量,,2016-10-24
2717308,annual maximum series,年最大值序列,,2016-10-24
2717309,annual minimum series,年最小值序列,,2016-10-24
2717310,annual runoff,年径流量,,2016-10-24
2717311,annual series,年序列,,2016-10-24
2717312,annual storage,年蓄水量,,2016-10-24
2717313,annual storage capacity,年蓄水容量,,2016-10-24
2717314,anoxic,无氧的,,2016-10-24
2717315,antecedent precipitation index,临前降水指数,,2016-10-24
2717316,antecedent soil moisture,临前土壤水分,,2016-10-24
2717317,antidunes,对风沙丘；逆丘,,2016-10-24
2717318,apparent velocity,视流速,,2016-10-24
2717319,applied hydrology,应用水文学,,2016-10-24
2717320,approach channel,行近河段,,2016-10-24
2717321,aquiclude,微水层,,2016-10-24
2717322,aquifer,含水层,,2016-10-24
2717323,aquifer test,含水层试验,,2016-10-24
2717324,aquifuge,绝水层,,2016-10-24
2717325,aquitard,滞水层；阻水层,,2016-10-24
2717326,area of influence,影响范围,,2016-10-24
2717327,area-elevation curve,面积-高程曲线,,2016-10-24
2717328,areal precipitation,面降水量,,2016-10-24
2717329,areal reduction factor (of rainfall),面[雨量]折减系数,,2016-10-24
2717330,arheic,无流区,,2016-10-24
2717331,arid zone,干旱地区,,2016-10-24
2717332,arid-zone hydrology,干旱区水文学,,2016-10-24
2717333,aridity,干旱度,,2016-10-24
2717334,arithmetic mean,算术平均,,2016-10-24
2717335,armouring; armoring (A),护甲,,2016-10-24
2717336,artesian aquifer,自流含水层,,2016-10-24
2717337,artesian basin,自流泉盆地；自流井盆地,,2016-10-24
2717338,artesian head,自流泉水头,,2016-10-24
2717339,artesian spring,自流泉,,2016-10-24
2717340,artesian well,自流井,,2016-10-24
2717341,artificial precipitation,人工降水；人造雨,,2016-10-24
2717342,artificial recharge,人工补注,,2016-10-24
2717343,artificial replenishment,人工补注,,2016-10-24
2717344,aspect,方位,,2016-10-24
2717345,atmometer,蒸发仪,,2016-10-24
2717346,atmospheric humidity,大气湿度,,2016-10-24
2717347,attached groundwater,吸附地下水,,2016-10-24
2717348,aufeis,泛滥冰层,,2016-10-24
2717349,auger sampler,螺旋钻取样器,,2016-10-24
2717350,autocorrelation,自相关,,2016-10-24
2717351,autocorrelation coefficient,自相关系数,,2016-10-24
2717352,automatic station,自动测站,,2016-10-24
2717353,autoregressive process,自回归过程,,2016-10-24
2717354,autoregressive series,自回归序列,,2016-10-24
2717355,available head,有效水头,,2016-10-24
2717356,available soil moisture,有效土壤含水量,,2016-10-24
2717357,available storage capacity,有效库容,,2016-10-24
2717358,avalanche, 雪崩,,2016-10-24
2717359,average,平均,,2016-10-24
2717360,average interstitial velocity,平均间隙流速,,2016-10-24
2717361,average velocity,平均流速,,2016-10-24
2717362,average year,平均年,,2016-10-24
2717363,avulsion,冲决改道,,2016-10-24
2717364,axisymmetric flow,轴对称流,,2016-10-24
2717365,backblowing,反[向]冲洗,,2016-10-24
2717366,backwashing,反[向]冲洗,,2016-10-24
2717367,backwater curve,回水曲线,,2016-10-24
2717368,baffle,档板,,2016-10-24
2717369,balancing reservoir,调节池,,2016-10-24
2717370,"bank (left, right)",河岸,,2016-10-24
2717371,bank storage,河岸蓄水量,,2016-10-24
2717372,bankfull discharge,满岸流量,,2016-10-24
2717373,bankfull stage,平岸水位,,2016-10-24
