ID,英文名稱,中文名稱,圖片,更新日期
2717437,ablation,冰融,,2016-10-24
2717438,ablation breccia,消融角砾岩,,2016-10-24
2717439,ablation cone,消融锥,,2016-10-24
2717440,ablatograph,冰融仪,,2016-10-24
2717441,abraded bedrock surface,浪蚀基岩面,,2016-10-24
2717442,abrasion,磨蚀,,2016-10-24
2717443,abrasion mark,磨蚀痕迹,,2016-10-24
2717444,abrasion platform,海蚀平台；海蚀台地,,2016-10-24
2717445,abrasion shoreline,浪蚀海岸线,,2016-10-24
2717446,abrasion surface,海蚀面；浪蚀面,,2016-10-24
2717447,abrasion tableland,海蚀台地；浪蚀台地,,2016-10-24
2717448,abrasion terrace,海蚀阶地；浪蚀阶地,,2016-10-24
2717449,absorptivity,吸收性；吸收率,,2016-10-24
2717450,abyssal,深渊底；深海的,,2016-10-24
2717451,abyssal ooze,深海软泥,,2016-10-24
2717452,abyssal plain,深渊底平原；深海平原,,2016-10-24
2717453,abyssal red earth,深海红土,,2016-10-24
2717454,abyssopelagic,深渊水层{4000–6000 公尺},,2016-10-24
2717455,accelerator mass spectrometry (AMS),加速器质谱仪,,2016-10-24
2717456,accreting plate boundary,增积板块边界；增生型板块边界,,2016-10-24
2717457,accretion,固结；凝聚；堆积,,2016-10-24
2717458,accretion beach face,增积海滩面；加积海滩面,,2016-10-24
2717459,accretion bed,增积层；加积层,,2016-10-24
2717460,accretion ridge,增积砂岭；外展滩脊,,2016-10-24
2717461,accretion ripple mark,加积波痕,,2016-10-24
2717462,accretion topography,加积地形,,2016-10-24
2717463,accretion vein,填加脉,,2016-10-24
2717464,accretionary bar,增积砂坝；加积砂坝,,2016-10-24
2717465,accretionary basin,增积盆地,,2016-10-24
2717466,accretionary belt,增积带；加积带,,2016-10-24
2717467,accretionary coast,增积海岸；加积海岸,,2016-10-24
2717468,accretionary lapilli,增积火山泥砾,,2016-10-24
2717469,accretionary lava ball,增积熔岩球,,2016-10-24
2717470,accretionary plate boundary,增积板块边界；增生型板块边界,,2016-10-24
2717471,accretionary prism,增积岩体,,2016-10-24
2717472,accretionary ridge,增积海脊,,2016-10-24
2717473,accretionary subduction complex,增积隐没复合体,,2016-10-24
2717474,accretionary wedge,增积楔形体,,2016-10-24
2717475,accumulated island,堆积岛,,2016-10-24
2717476,accumulation rate,堆积速率,,2016-10-24
2717477,acidification,酸化作用,,2016-10-24
2717478,acidity,酸度；酸性,,2016-10-24
2717479,acoustic basement,声波基盘,,2016-10-24
2717480,acoustic release,声波释放,,2016-10-24
2717481,acoustic sounding,声波测深；声学探测,,2016-10-24
2717482,acoustic swath-mapping,声波条带测绘,,2016-10-24
2717483,Actinaraea,辐线珊瑚属,,2016-10-24
2717484,Actinaria,肉珊瑚目,,2016-10-24
2717485,Actinastrum,星形藻属{绿藻类},,2016-10-24
2717486,actine,星状骨针{海绵动物},,2016-10-24
2717487,Actiniaria,海葵目,,2016-10-24
2717488,Actinocamax,星桩箭石属,,2016-10-24
2717489,Actinocyclus,辐环藻属,,2016-10-24
2717490,Actinocystidae,辐射泡沫珊瑚科,,2016-10-24
2717491,Actinophycus,放射线藻属,,2016-10-24
2717492,Actinopoda,射足虫类{原生动物}；射足类{棘皮动物},,2016-10-24
2717493,Actinoporella,辐孔藻属,,2016-10-24
2717494,Actinosiphon,辐管虫属{有孔虫类},,2016-10-24
2717495,Actinostroma,放射层孔虫属,,2016-10-24
2717496,Actinostromaria,仿放射层孔虫属,,2016-10-24
2717497,Actinothecaceae,翼脉藻[囊孢]科,,2016-10-24
2717498,active continental margin,活动大陆边缘,,2016-10-24
2717499,active microwave,主动微波,,2016-10-24
2717500,active plate,活动板块,,2016-10-24
2717501,active plate margin,活动板块边缘,,2016-10-24
2717502,active sensor,主动感测器,,2016-10-24
2717503,active volcano,活火山,,2016-10-24
2717504,acuate delta,弓形三角洲,,2016-10-24
2717505,Acuturris,尖石属{钙质超微化石},,2016-10-24
2717506,Adelocyrtis,隐笼虫属{放射虫属},,2016-10-24
2717507,Adeonidae,满苔藓虫科,,2016-10-24
2717508,Adetopora,自由孔珊瑚属；树枝管珊瑚属,,2016-10-24
2717509,adhesion,黏附；黏附力,,2016-10-24
2717510,adhesive force,附著力；黏附力,,2016-10-24
2717511,adiabatic,绝热,,2016-10-24
2717512,adiabatic cooling,绝热冷却,,2016-10-24
2717513,adiabatic heating,绝热增温,,2016-10-24
2717514,adiabatic lapse rate,绝热递减率,,2016-10-24
2717515,adiabatic phenomenon,绝热现象,,2016-10-24
2717516,adiabatic process,绝热过程,,2016-10-24
2717517,adiabatic temperature gradient,绝热温度梯度,,2016-10-24
2717518,adiabatic warming,绝热增温,,2016-10-24
2717519,adit,平坑,,2016-10-24
2717520,admiralty chart,海图,,2016-10-24
2717521,adolescent coast,青年期海岸,,2016-10-24
2717522,advanced coast,前移海岸,,2016-10-24
2717523,advancing coast,前进海岸,,2016-10-24
2717524,adventitious deposit,外源堆积,,2016-10-24
2717525,aeolation,风成沉积；风积物,,2016-10-24
2717526,aeolian,风成相；风成的,,2016-10-24
2717527,aeolian deposit,风成沉积；风积物,,2016-10-24
2717528,aeolian sediment,风积物；风成沉积,,2016-10-24
2717529,Aeolis,蛞蝓属,,2016-10-24
2717530,aerial photography,航空摄影,,2016-10-24
2717531,aerobic,好氧性；嗜氧性；好氧的；有氧的,,2016-10-24
2717532,aerobic bacteria,好氧细菌；需氧菌；有氧菌；嗜氧性细菌,,2016-10-24
2717533,aerobic digestion,有氧消化[作用],,2016-10-24
2717534,aerobic respiration,有氧呼吸[作用],,2016-10-24
2717535,Aerobryopsis,灰气藓属{苔藓植物},,2016-10-24
2717536,aerosol,气溶胶；气胶,,2016-10-24
2717537,affinity,亲合力,,2016-10-24
