ID,英文名稱,中文名稱,圖片,更新日期
2649763,β-argentite,β-辉银矿,,2016-08-26
2649764,β-cerolite,β-蜡蛇纹石,,2016-08-26
2649765,β-chalcocite,β-辉铜矿,,2016-08-26
2649766,β-fergusonite,β-褐钇铌矿,,2016-08-26
2649767,β-hypersthene,β-紫苏辉石,,2016-08-26
2649768,β-quartz,β-石英,,2016-08-26
2649770,β-uranopilite,β-铀灰石,,2016-08-26
2649771,β-uranotile,β-矽钙铀矿,,2016-08-26
2650714,β-sepiolite,β-海泡石,,2016-08-26
2651357,αeffect,α效应；阿尔法效应,,2016-08-26
2651359,αionization,α射线电离；阿尔法射线电离,,2016-08-26
2651361,αparticle,α粒子；阿尔法粒子,,2016-08-26
2651363,α-ray,α射线；阿尔法射线,,2016-08-26
2651365,αscale,α尺度；阿尔法尺度,,2016-08-26
2652438,β effect,β效应；贝他效应,,2016-08-26
2652440,β particle,β粒子；贝他粒子,,2016-08-26
2652442,β ray,β射线；贝他射线,,2016-08-26
2652444,β scale,β尺度；贝他尺度,,2016-08-26
2652446,β-plane (approximation),β平面[近似]；贝他平面[近似],,2016-08-26
2681076,W2 wave,W2波,,2016-08-26
2681077,W3 wave,W3波,,2016-08-26
2681078,Waagenoceras,瓦氏角石,,2016-08-26
2681079,Waagenoconcha,瓦氏贝,,2016-08-26
2681080,Waagenophyllum,瓦氏珊瑚,,2016-08-26
2681081,Waal warm age,瓦尔冰间期,,2016-08-26
2681082,wacke,玄土；泥质砂岩,,2016-08-26
2681083,wad,锰土,,2016-08-26
2681084,wadeite,钾钙板锆石,,2016-08-26
2681085,Wadell's law of settling velocity,瓦氏沉〔降〕速〔度定〕律,,2016-08-26
2681086,wadi; arroyo; chebka wadis; dry valley; nullah; shebka; wady; wash,干谷,,2016-08-26
2681087,wagnerite,磷镁石,,2016-08-26
2681088,wake,尾流,,2016-08-26
2681089,Walchia,瓦契木,,2016-08-26
2681090,walkerite; Walker's clay,漂白土,,2016-08-26
2681091,wall,盘；壁,,2016-08-26
2681092,wall effect,壁效应,,2016-08-26
2681093,wall friction,壁面摩擦力,,2016-08-26
2681094,wall rock,围岩,,2016-08-26
2681095,wall rock alternation,围岩换质,,2016-08-26
2681096,wall-sided glacier,谷壁冰河,,2016-08-26
2681097,Wallachian movement,瓦拉赤运动｛上新世｝,,2016-08-26
2681098,walpurgite,砷铀铋矿,,2016-08-26
2681099,wandering,漂移,,2016-08-26
2681100,Wanhsien fauna,万县动物群,,2016-08-26
2681101,waning slope,下凹坡,,2016-08-26
2681102,Wanwanoceras,湾湾角石上科,,2016-08-26
2681103,wapplerite,三斜钙砷石,,2016-08-26
2681104,wardite,水磷铝石,,2016-08-26
2681105,warm air-mass,暖气团,,2016-08-26
2681106,warm anticyclone,暖反气旋,,2016-08-26
2681107,warm braw,暖布劳风,,2016-08-26
2681108,warm current,暖流,,2016-08-26
2681109,warm cyclone,暖气旋,,2016-08-26
2681110,warm forest zone,暖温带林,,2016-08-26
2681111,warm front,暖锋,,2016-08-26
2681112,warm front rain,暖锋雨,,2016-08-26
2681113,warm high,暖高压,,2016-08-26
2681114,warm low,暖低压,,2016-08-26
2681115,warm occluded front,暖囚锢锋,,2016-08-26
2681116,warm rain,暖雨,,2016-08-26
2681117,warm sector,暖区,,2016-08-26
2681118,warm tongue,暖舌,,2016-08-26
2681119,warm water sphere,暖水圈,,2016-08-26
2681120,warm wave,热浪,,2016-08-26
2681121,warm-air drop; warm drop; warm pool,暖气潭,,2016-08-26
2681122,warm-core anticyclone,暖心反气旋,,2016-08-26
2681123,warm-core cyclone,暖心气旋,,2016-08-26
2681124,warm-core high,暖心高压,,2016-08-26
2681125,warm-core low,暖心低压,,2016-08-26
2681126,warm-front-type occlusion,暖锋型囚锢,,2016-08-26
2681127,warm-tongue steering,暖舌驶引,,2016-08-26
2681128,warm-type occlusion,暖型囚锢,,2016-08-26
2681129,warning,警报,,2016-08-26
2681130,warning stage,警戒水位,,2016-08-26
2681131,warp soil,淤积土,,2016-08-26
2681132,warped basin,挠曲盆地,,2016-08-26
2681133,warping,挠屈,,2016-08-26
2681134,warping earthquake,挠曲地震,,2016-08-26
2681135,warrenite,脆硫锑铅矿；钴菱锌矿,,2016-08-26
2681136,warwickite,钛硼镁铁石,,2016-08-26
2681137,Wasatch wind,窝塞赤风,,2016-08-26
2681138,wash load,冲洗负荷,,2016-08-26
2681139,wash slope,冲洗坡,,2016-08-26
2681140,wash-bottle,洗瓶,,2016-08-26
2681141,wash-out gravel,水蚀砾,,2016-08-26
2681142,wash; donga; shebka,干谷,,2016-08-26
2681143,washability,可选性,,2016-08-26
2681144,washboard moraines,洗衣板状碛群,,2016-08-26
2681145,washingtonite,钛铁矿,,2016-08-26
2681146,Washoe zephyr,瓦休来菲风,,2016-08-26
2681147,washout; cut and fill,切塡,,2016-08-26
2681148,wastage,消融,,2016-08-26
2681149,waste,废石,,2016-08-26
2681150,waste slope,崩坏坡,,2016-08-26
2681151,wastefilled valley,埋积谷,,2016-08-26
2681152,wasting land,崩坏地,,2016-08-26
2681153,water,水,,2016-08-26
2681154,water (moisture) sorption,著水作用,,2016-08-26
2681155,water atmosphere,水〔汽〕大气,,2016-08-26
2681156,water balance,水平衡；水文平衡,,2016-08-26
2681157,water bloom,水华,,2016-08-26
2681158,water body,水体,,2016-08-26
2681159,water bottle,探水器,,2016-08-26
2681160,water budget,水收支,,2016-08-26
2681161,water cloud,水云,,2016-08-26
2681162,water color,水色,,2016-08-26
2681163,water content,含水量,,2016-08-26
2681164,water culture,水培,,2016-08-26
2681165,water deficit,缺水,,2016-08-26
2681166,water drive,水驱（油田）,,2016-08-26
2681167,water equivalent,水当量,,2016-08-26
2681168,water erosion,水蚀,,2016-08-26
2681169,water exchange,水交换,,2016-08-26
2681170,water film,水膜,,2016-08-26
2681171,water gage,水位标尺,,2016-08-26
2681172,water gap,水口,,2016-08-26
2681173,water gas,水溶性天然气,,2016-08-26
2681174,water ice,水冰,,2016-08-26
2681175,water level; water stage,水位,,2016-08-26
2681176,water logging,积水,,2016-08-26
2681177,water loss,水耗,,2016-08-26
2681178,water mark,水痕,,2016-08-26
2681179,water mass,水团,,2016-08-26
2681180,water mass analysis,水团分析,,2016-08-26
2681181,water meter,水表,,2016-08-26
2681182,water of constitution,成分水,,2016-08-26
2681183,water of crystallization,结晶水,,2016-08-26
2681184,water of imbibition,渗吸水,,2016-08-26
2681185,water of plasticity,起塑水,,2016-08-26
2681186,water permeability,水渗透率,,2016-08-26
2681187,water pocket; water vein,水脉,,2016-08-26
2681188,water power,水力,,2016-08-26
2681189,water pressure,水压,,2016-08-26
2681190,water requirement,需水量,,2016-08-26
2681191,water retention,保水性,,2016-08-26
2681192,water sapphire,蓝堇青石；水蓝宝石,,2016-08-26
2681193,water saturation,水饱和率,,2016-08-26
2681194,water seepage,泉苗,,2016-08-26
2681195,water shed; water divide,分水界；分水岭,,2016-08-26
2681196,water sky,水映空,,2016-08-26
2681197,water smoke,水烟；蒸气雾,,2016-08-26
2681198,Water snake; Hydrus,水蛇座,,2016-08-26
2681199,water snow,湿雪,,2016-08-26
2681200,water sphere,水圈,,2016-08-26
2681201,water spout,水龙卷,,2016-08-26
2681202,water spreading,分散渗透,,2016-08-26
