ID,英文名稱,中文名稱,圖片,更新日期
3226693,3-dimension surface model,三维地表模型,,2026-06-04
3226694,A/D conversion,类比-数位转换,,2026-06-03
3226695,absolute altitude,绝对高程,,2026-06-03
3226696,absolute coordinate,绝对坐标,,2026-06-03
3226697,absolute position,绝对位置,,2026-06-03
3226698,absorption,吸收,,2026-06-03
3226699,abstract data type (ADT),抽象资料类型,,2026-06-03
3226700,abstraction,抽象化,,2026-06-03
3226701,access,存取,,2026-06-03
3226702,access control,存取控制,,2026-06-03
3226703,access directory,存取目录,,2026-06-03
3226704,access level,存取等级,,2026-06-03
3226705,access method,存取方法,,2026-06-03
3226706,access path,存取路径,,2026-06-03
3226707,access right,存取权限,,2026-06-03
3226708,access security,存取安全性,,2026-06-03
3226709,access technology,存取技术,,2026-06-03
3226710,access time,存取时间,,2026-06-03
3226711,access type,存取类型,,2026-06-03
3226712,accessibility,可存取性；易达性,,2026-06-03
3226713,account,帐号,,2026-06-03
3226714,account name,帐户名称,,2026-06-03
3226715,accuracy,准确度,,2026-06-03
3226716,accuracy assessment,准确度评估,,2026-06-03
3226717,American congress on surveying and mapping (ACSM),美国测量及绘图学会,,2026-06-03
3226718,active database,现用资料库,,2026-06-03
3226719,active sensor,主动式感测器,,2026-06-03
3226720,active tracking system,主动式追踪系统,,2026-06-03
3226722,additive primary colors,加色法原色；加光原色；光的三原色,,2026-06-03
3226723,address,位址；地址,,2026-06-03
3226724,address access type,位址存取类型,,2026-06-03
3226725,address bus,位址汇流排,,2026-06-03
3226726,address coding,位址编码,,2026-06-03
3226727,address matching,地址对位,,2026-06-03
3226728,address range,地址范围,,2026-06-03
3226729,addressing,定址；寻址,,2026-06-03
3226730,adjacency,相邻,,2026-06-03
3226731,adjacency analysis,相邻性分析,,2026-06-03
3226732,adjacent areas,相邻区域,,2026-06-03
3226733,adjoining sheets,图幅接合表,,2026-06-03
3226734,automated digitizing system (ADS),自动数化系统,,2026-06-03
3226736,advanced very high resolution radiometer (AVHRR),进阶极高解析度辐射仪,,2026-06-03
3226738,aerial photograph,航照；航空照片,,2026-06-03
3226739,aerial photograph interpretation,航照判读,,2026-06-03
3226740,aerial triangulation,空中三角测量,,2026-06-03
3226741,affine transformation,仿射转换,,2026-06-03
3226742,agent,主体；个体；行动者,,2026-06-03
3226743,aggregation,聚合,,2026-06-03
3226744,artificial intelligence (AI),人工智慧,,2026-06-03
3226745,airphoto,航空像片,,2026-06-03
3226746,Albers projection,亚尔勃斯投影,,2026-06-03
3226747,algebraic model,代数模型,,2026-06-03
3226748,algorithm,演算法,,2026-06-03
3226749,aliase,别名,,2026-06-03
3226750,aliasing,混淆现象,,2026-06-03
3226751,allocation,分派；配置,,2026-06-03
3226752,along-track scanning,沿轨扫描,,2026-06-03
3226753,alphanumeric,文数字,,2026-06-03
3226754,alphanumeric symbol,文数字符虢,,2026-06-03
3226755,altitude,高度,,2026-06-03
3226756,altitude angle,高度角；仰角,,2026-06-03
3226757,altitude matrix,高度矩阵,,2026-06-03
3226758,altitude tinting,分层设色,,2026-06-03
3226759,automated mapping/facilities management system (AM/FM),自动绘图/设施管理系统,,2026-06-03
3226762,American Society for Photogrammetry and Remote Sensing (ASPRS),美国摄影测量及遥感探测学会,,2026-06-03
