ID,英文名稱,中文名稱,圖片,更新日期
3230081,3S integration,3S整合科技,,2017-08-08
3230082,a priori standard deviation,先验中误差,,2017-08-08
3230083,abate process,减薄法,,2017-08-08
3230084,Abbe comparator principle,亚贝比长原理,,2017-08-08
3230085,Abbe condenser,亚贝聚光透镜,,2017-08-08
3230086,aberration,像差,,2017-08-08
3230087,aberration correction,像差改正; 光行差改正,,2017-08-08
3230088,aberration of light,光行差,,2017-08-08
3230089,aberration of sphericity,球面像差,,2017-08-08
3230090,ablatograph,融化测量仪,,2017-08-08
3230091,ablaze,发光作用(高),,2017-08-08
3230092,Abney level,阿伯尼水准仪,,2017-08-08
3230093,abnormal magnetic variation,异常磁变,,2017-08-08
3230094,abscissa,横坐标,,2017-08-08
3230095,abscissa of image point,像点横坐标,,2017-08-08
3230096,absolute altitude,绝对高程,,2017-08-08
3230097,absolute catalog,绝对星表,,2017-08-08
3230098,absolute datum,绝对基准,,2017-08-08
3230099,absolute error,绝对误差,,2017-08-08
3230100,absolute flying height,绝对航高,,2017-08-08
3230101,absolute gravimeter,绝对重力仪,,2017-08-08
3230102,absolute gravity,绝对重力,,2017-08-08
3230103,absolute gravity measurement,绝对重力测量,,2017-08-08
3230104,absolute magnitude,绝对星等,,2017-08-08
3230105,absolute orientation,绝对方位,,2017-08-08
3230106,absolute parallax,绝对视差,,2017-08-08
3230107,absolute proper motion,绝对自行,,2017-08-08
3230108,absolute radial velocity,绝对辐射速度,,2017-08-08
3230109,absolute reflector,完全反射体,,2017-08-08
3230110,absolute star catalog,绝对星表,,2017-08-08
3230111,absolute stereoscopic parallax,绝对立体视差,,2017-08-08
3230112,absolute threshold,绝对阈值,,2022-07-19
3230113,absorption,吸收,,2017-08-08
3230114,absorption band,吸收波段,,2017-08-08
3230115,absorption filter,吸收滤光片,,2017-08-08
3230116,abstract symbol,抽象符号,,2017-08-08
3230117,abyss,海沟,,2017-08-08
3230118,abyssal,深渊,,2017-08-08
3230119,abyssal basin,深海盆地,,2017-08-08
3230120,abyssal hill,深海山丘,,2017-08-08
3230121,abyssal plain,深海平原,,2017-08-08
3230122,acceleration of gravity,重力加速度,,2017-08-08
3230123,accidental error,偶然误差,,2017-08-08
3230124,acclivity,上升坡,,2017-08-08
3230125,accommodation of human eye,人眼调节,,2017-08-08
3230126,accordion,折式地图,,2017-08-08
3230127,accumulated divergence,累积闭合差,,2017-08-08
3230128,accumulated error,累积误差,,2017-08-08
3230129,acetate film,醋酸盐胶片,,2017-08-08
3230130,achromatic double lens,消色差双透镜,,2017-08-08
3230131,achromatic film,消色差片,,2017-08-08
3230132,achromatic lens,消色差透镜,,2017-08-08
3230133,aclinic line,磁赤道,,2017-08-08
3230134,acoustic beacon on bottom,海底声标,,2017-08-08
3230135,acoustic bearing,音波方位,,2017-08-08
3230136,acoustic doppler current profiler{=ADCP},都卜勒流剖仪,,2017-08-08
3230137,acoustic holography system,声波全像系统,,2017-08-08
3230138,acoustic positioning,声波定位,,2017-08-08
3230139,acoustic positioning system,声波定位系统,,2017-08-08
3230140,acoustic responder,声波应答器,,2017-08-08
3230141,acoustic water level,声波水位计,,2017-08-08
3230142,actinic light,感光灯,,2017-08-08
