ID,英文名稱,中文名稱,圖片,更新日期
11571971,three dimension (3D),三维,,2026-06-02
11571972,A horizon,A层；表土层,,2026-06-03
11571973,Association of American Geographers (AAG),美国地理学家协会,,2026-06-03
11571974,abiogenic landscape,非生物景观,,2026-06-03
11571975,ablation,消融,,2026-06-03
11571976,aborigines,原住民,,2026-06-03
11571977,abrasion,磨蚀；磨蚀作用,,2026-06-03
11571978,abrasion platform,海蚀平台,,2026-06-03
11571979,abrupt change of climate,气候突变,,2026-06-03
11571980,absolute age of soil,土壤绝对年龄,,2026-06-03
11571981,absolute distance,绝对距离,,2026-06-03
11571982,absolute geographical space,绝对地理空间,,2026-06-03
11571983,absolute location,绝对位置,,2026-06-03
11571984,absolute sea level change,绝对海面变化；绝对海平面变化,,2026-06-03
11571985,absorption,吸收；吸收作用,,2026-06-03
11571986,absorptivity,吸收率,,2026-06-03
11571987,abyssal deep,海渊,,2026-06-03
11571988,abyssal plain,深海平原,,2026-06-03
11571989,academic geography,学术地理学,,2026-06-03
11571990,accelerated erosion,加速侵蚀,,2026-06-03
11571991,accelerated eutrophication,加速优养化,,2026-06-03
11571992,acceptable erosion,允许侵蚀量,,2026-06-03
11571993,access control,资料分发；存取控制,,2026-06-03
11571994,accessibility,易达性；可达性,,2026-06-03
11571995,accessibility index,易达性指数；可达性指数,,2026-06-03
11571996,acclimatization,气候适应；生物驯化,,2026-06-03
11571997,accompanied effect,共伴效应,,2026-06-03
11571998,acculturation,涵化,,2026-06-03
11571999,accumulated temperature,积温,,2026-06-03
11572000,acid rain,酸雨,,2026-06-03
11572001,acid soil,酸性土,,2026-06-03
11572002,acid sulphate soil,酸性硫酸盐土,,2026-06-03
11572003,acrisol,淀积土,,2026-06-03
11572004,action space,行动空间,,2026-06-03
11572005,active dispersal,主动散布,,2026-06-03
11572006,active layer,活动层,,2026-06-03
11572007,active remote sensing,主动式遥测,,2026-06-03
11572008,active tectonics,活动构造；活动构造作用,,2026-06-03
11572009,active volcano,活火山,,2026-06-03
11572010,activity allocation model,活动分派模式,,2026-06-03
11572011,activity diaries survey,行为日志调查,,2026-06-03
11572012,activity space,活动空间,,2026-06-03
11572013,actor,行动者,,2026-06-03
11572014,adaptation,调适；适应,,2026-06-03
11572015,adaptive radiation,适应性扩张,,2026-06-03
11572016,Asian Development Bank (ADB),亚洲开发银行,,2026-06-03
11572017,address geo-coding,地址编码,,2026-06-03
11572018,address matching,地址对位,,2026-06-03
11572019,adiabatic cooling,绝热冷却,,2026-06-03
11572020,administrative boundary,行政界线,,2026-06-03
11572021,administrative geography,行政地理学,,2026-06-03
11572022,administrative principle,行政原则,,2026-06-03
11572023,administrative region,行政区,,2026-06-03
11572024,adoption curves,采用曲线,,2026-06-03
11572025,adret,向阳坡,,2026-06-03
11572026,adsorption,吸附；吸附作用,,2026-06-03
11572027,advanced capitalism,先进资本主义,,2026-06-03
11572028,advanced economies,已开发经济体,,2026-06-03
11572029,adventure tourism,探险旅游,,2026-06-03
11572030,aeolian deposit,风成堆积物；风积物,,2026-06-03
11572031,aeolian deposition,风成堆积,,2026-06-03
11572032,aeolian dune,沙丘；风成沙丘,,2026-06-03
11572033,aeolian landform,风成地形,,2026-06-03
11572034,aeolian sand,风成沙,,2026-06-03
11572035,aeolian sandy soil,风沙土,,2026-06-03
11572036,aeolian soil,风积土,,2026-06-03
11572037,aeration zone,饱和气带,,2026-06-03
11572038,aerial migratory elements,气迁移元素,,2026-06-03
11572039,aerial photographs,航空照片；像片基本图,,2026-06-03
11572040,aerial remote sensing,空载遥测,,2026-06-03
11572041,aeroclimatology,高空气候学,,2026-06-03
11572042,aeronautical chart,航空图,,2026-06-03
11572043,aeronautical climatology,航空气候学,,2026-06-03
11572044,aestivation,夏蛰,,2026-06-03
11572045,afforestation,造林；荒地造林,,2026-06-03
11572046,Afro-Asiatic languages,亚非语系,,2026-06-03
11572047,ASEAN Free Trade Agreement (AFTA),东协自由贸易协定,,2026-06-03
11572048,age and sex structure,年龄与性别结构,,2026-06-03
11572049,agency,行动者,,2026-06-03
11572050,agent,外营力,,2026-06-03
11572051,agglomeration,聚集；集块；聚集作用；集块作用,,2026-06-03
11572052,agglomeration economy,聚集经济,,2026-06-03
11572053,aggradation,积夷；加积作用,,2026-06-03
11572054,aging society,高龄化社会,,2026-06-03
11572055,Agreement on Technical Barrier to Trade,技术性贸易障碍协定,,2026-06-03
11572056,agribusiness,农企业,,2026-06-03
11572057,agricultural atlas,农业地图集,,2026-06-03
11572058,agricultural density,农业密度,,2026-06-03
11572059,agricultural ecological system,农业生态系,,2026-06-03
11572060,agricultural economics,农业经济学,,2026-06-03
11572061,agricultural geography,农业地理学,,2026-06-03
11572062,agricultural hearths,农业发源地,,2026-06-03
11572063,agricultural hydrology,农业水文学,,2026-06-03
11572064,agricultural industrialization,农业工业化,,2026-06-03
11572065,agricultural location,农业区位,,2026-06-03
11572066,agricultural location theory,农业区位论,,2026-06-03
11572067,agricultural potential productivity,农业生产潜力,,2026-06-03
11572068,agricultural region,农业区,,2026-06-03
11572069,agricultural regionalization,农业区划,,2026-06-03
11572070,agricultural remote sensing,农业遥测；农业遥感探测,,2026-06-03
11572071,agricultural revolution,农业革命,,2026-06-03
11572072,agricultural systems,农业系统 ,,2026-06-03
11572073,agricultural town,农业市镇,,2026-06-03
11572074,agricultural transformation,农业转型,,2026-06-03
11572075,agricultural zone,农业区；农业带,,2026-06-03
11572076,agriculture,农业,,2026-06-03
11572077,agriculture enterprization,农业企业化,,2026-06-03
11572078,agriculture location model,农业区位模式,,2026-06-03
11572079,agriculture specialization,农业专业化,,2026-06-03
11572080,agri-technologies industry,农业科技产业,,2026-06-03
11572081,agritourism,农业观光,,2026-06-03
11572082,agroclimatology,农业气候学,,2026-06-03
11572083,agro-commodity production system,农业商品生产体系,,2026-06-03
11572084,agro-food system,农粮体系,,2026-06-03
11572085,agronomy,农艺学,,2026-06-03
11572086,American Geographical Society (AGS),美国地理学会,,2026-06-03
11572087,air mass,气团,,2026-06-03
11572088,air pollution,空气污染,,2026-06-03
11572089,air pressure,气压,,2026-06-03
11572090,air temperature,大气温度,,2026-06-03
11572091,air transport,航空运输,,2026-06-03
11572092,air transport hub,航空枢纽,,2026-06-03
11572093,air-land interaction,陆-气交互作用,,2026-06-03
11572094,air-sea interaction,海-气交互作用,,2026-06-03
11572095,albedo,反照率,,2026-06-03
11572096,alfisol,淋溶土,,2026-06-03
11572097,algorithm,演算法,,2026-06-03
11572098,alisol,高活性强酸土,,2026-06-03
11572099,alkaline soil,碱性土,,2026-06-03
11572100,allitization,铝铁土化,,2026-06-03
11572101,allocation of agriculture,农业分派,,2026-06-03
11572102,allocation of commercial network,商业网络分派,,2026-06-03
11572103,allocation of communication and transportation,通讯与运输分派； 交通分派,,2026-06-03
11572104,allocation of crops,作物分派,,2026-06-03
11572105,allocation of productive forces,生产力分派,,2026-06-03
11572106,allocative processes,分派性历程,,2026-06-03
11572107,allocative resource,分派性资源,,2026-06-03
11572108,allopatric speciation,异域种化,,2026-06-03
11572109,alluvial fan,冲积扇,,2026-06-03
11572110,alluvial plain,冲积平原,,2026-06-03
11572111,alluvial soil,冲积土,,2026-06-03
11572112,alluvium,冲积层,,2026-06-03
11572113,Alonso model,阿隆索竞租模式；阿隆索模式,,2026-06-03
11572114,alpha-diversity,α多样性,,2026-06-03
11572115,alpine belt,高山带,,2026-06-03
11572116,alpine faunal group,高山动物群,,2026-06-03
11572117,alpine frost desert soil,高山冻漠土,,2026-06-03
11572118,alpine frost soil,高山冻土,,2026-06-03
11572119,alpine glacier,高山冰河,,2026-06-03
11572120,alpine krummholz,高山矮曲林,,2026-06-03
11572121,alpine lake,高山湖,,2026-06-03
11572122,alpine meadow soil,高山草原土,,2026-06-03
11572123,Alpine orogeny,阿尔卑斯造山运动；阿尔卑斯运动,,2026-06-03
11572124,alpine permafrost,高山永冻土,,2026-06-03
11572125,alpine soil,高山土,,2026-06-03
11572126,alpine steppe soil,高山草原土,,2026-06-03
11572127,alpine tundra,高山苔原,,2026-06-03
11572128,Altaic languages,阿尔泰语系,,2026-06-03
11572129,alternative energy,替代能源,,2026-06-03
11572130,alternative tourism,另类旅游,,2026-06-03
11572131,altitude,海拔；高度,,2026-06-03
11572132,altitudinal belt,垂直分带,,2026-06-03
11572133,altitudinal belt of vegetation,植被垂直分带,,2026-06-03
11572134,altitudinal zonality,垂直成带性,,2026-06-03
11572135,amalgamation theory,融合论,,2026-06-03
11572136,American depository receipt,美国存托凭证,,2026-06-03
11572138,anaerobic digestion,厌氧分解,,2026-06-03
11572139,anaglyphic stereoscopic map,互补色立体地图,,2026-06-03
11572140,analog,类比,,2026-06-03
11572141,analogue,类比,,2026-06-03
11572142,analogue model,类比模式,,2026-06-03
11572143,ancient aeolian soil,古风成土,,2026-06-03
11572144,ancient map,古地图,,2026-06-03
11572145,ancient sand dune,古沙丘,,2026-06-03
11572146,Andean Group,安地诺集团,,2026-06-03
11572147,andisol,火山灰土,,2026-06-03
11572148,angle of gradient,坡角,,2026-06-03
11572149,animal distribution area,动物分布区,,2026-06-03
11572150,animal husbandry in agriculture regions,农区畜牧业,,2026-06-03
11572151,animation map,动画地图,,2026-06-03
11572152,animism,泛灵论,,2026-06-03
11572153,Annales School,年鉴学派,,2026-06-03
11572154,annual normal runoff,年正常径流,,2026-06-03
11572155,annual precipitation,年雨量,,2026-06-03
11572156,annual range of temperature,年温差,,2026-06-03
11572157,anomalies,距平；异常,,2026-06-03
11572158,anomie,社会紊乱；道德颓废,,2026-06-03
