ID,英文名稱,中文名稱,圖片,更新日期
199215,pseudo-kaliophilite,假钾霞石,,2012-11-26
208293,pseudoisometric crystal,假等轴晶体,,2012-11-26
208295,pseudoisometric,假等轴状,,2012-11-26
208297,pseudointerarea,双假尖合面〔无关节纲专用〕,,2012-11-26
208300,pseudohexagonal twin,假六方双晶,,2012-11-26
208303,pseudohexagonal crystal,假六方晶体,,2012-11-26
208306,pseudogradational bedding,假分级层理,,2012-11-26
208309,pseudogley,坚壤土,,2012-11-26
208310,Pseudogastrioceras,假腹棱角石,,2012-11-26
208312,pseudofossil,伪化石,,2012-11-26
208314,pseudofibrous peat,假纤维泥煤,,2012-11-26
208316,pseudoeutectic textures,假共结结构,,2012-11-26
208320,Pseudodoliolina,假瓜形【虫+筵】,,2012-11-26
208322,pseudodeltidium,假三角板,,2012-11-26
208325,Pseudocytherura,假金星介,,2012-11-26
208328,Pseudocycas(cycadites),假苏铁叶,,2012-11-26
208329,Pseudoctenis,假栉羽叶,,2012-11-26
208333,Pseudocrystal,假晶,,2012-11-26
208334,pseudocreodi,假古肉食附目,,2012-11-26
208336,Pseudocoumella,假中轴,,2012-11-26
208337,Pseudocotunnite,假氯铅矿,,2012-11-26
208340,pseudo-conglomerate,假砾岩,,2012-11-26
208341,pseudocolumella,假中轴,,2012-11-26
208343,pseudo-col,假山口,,2012-11-26
208346,pseudochitin,假几丁质,,2012-11-26
208352,Pseudoceratites,假菊面石；假锯菊石,,2012-11-26
208353,pseudobrookite,铁板钛矿,,2012-11-26
208355,pseudobreccia,假角砾岩,,2012-11-26
208357,Pseudo-bombs,岩浆弹,,2012-11-26
208359,pseudoboleite,铜氯铅矿,,2012-11-26
208360,pseudoapatite,假磷灰石,,2012-11-26
208363,Pseudoamplenno,仮包珊瑚,,2012-11-26
208365,pseudoallochem,假生化堆积物,,2012-11-26
208366,pseudoalbite,假钠长石,,2012-11-26
208369,pseudo slickensides,假擦痕,,2012-11-26
208371,pseudo ripple mark,假波痕,,2012-11-26
208372,pseudo mountain,假蚀山,,2012-11-26
208377,pseudo crossbedding,假交错层,,2012-11-26
208378,pseudo cannel coal,假烛煤,,2012-11-26
208380,pseudo-,假一,,2012-11-26
208382,Pseudasaphus,假栉虫,,2012-11-26
208384,Pseudamplexus,假包珊瑚,,2012-11-26
208386,Pseudagnostus,假球接子,,2012-11-26
208388,psephyte,砾质岩,,2012-11-26
208390,psephitic,砾状,,2012-11-26
208392,psephite,砾质岩,,2012-11-26
208394,psephicity,硬圆度,,2012-11-26
208395,Psaronius,辉木,,2012-11-26
208397,psammyte(psammite),砂质岩,,2012-11-26
208398,psammitic-gneiss,砂屑片麻岩,,2012-11-26
208400,psammitic,砂质的,,2012-11-26
208402,psammite,砂屑岩,,2012-11-26
208404,przibramite,镉闪锌矿；绢针铁矿,,2012-11-26
208405,proximate analysis,实用分析,,2012-11-26
208408,proximate admixture,近似混合物,,2012-11-26
208411,proximal,近岸的；尾端的,,2012-11-26
208413,prowersite,正长云煌岩,,2012-11-26
208414,province,区；省,,2012-11-26
208416,provenience,来源地,,2012-11-26
208417,provenance,来源地,,2012-11-26
208419,proved ore,证实矿量；确实矿量,,2012-11-26
208421,proustite,淡红银矿,,2012-11-26
208423,protype,完型,,2012-11-26
208424,protrusion,突出构造；硬体侵入,,2012-11-26
208427,Protrocheata,原气管亚纲,,2012-11-26
208429,Protremata,前穴目；前孔目,,2012-11-26
208431,protractor,量角规,,2012-11-26
208434,protozone,原生动物学,,2012-11-26
208436,Protozoa,原生动物,,2012-11-26
208438,prototype,原型,,2012-11-26
208440,Prototheria,原兽亚纲,,2012-11-26
208442,Protosuchus,原鳄,,2012-11-26
208443,Protosuchia,原鳄目,,2012-11-26
208445,Protostomia,原口动物,,2012-11-26
208448,protostele,原生中柱,,2012-11-26
208451,Protospongia,原始海绵,,2012-11-26
208452,Protorthoptera,古直翅目,,2012-11-26
208454,Protorosaurus,原龙,,2012-11-26
208457,Protorosauria,原龙类；前嘴龙目目,,2012-11-26
208459,protore,矿胎；胚胎矿,,2012-11-26
208461,protoquartzite,原石英岩,,2012-11-26
208463,protopyramid,原锥,,2012-11-26
208465,Protopteridium,原始蕨,,2012-11-26
208467,Protopteridiales,原始蕨类植物,,2012-11-26
208468,protophyte,原生植物,,2012-11-26
208471,Protophyta,原生植物门,,2012-11-26
208472,protomylonite,原生磨岭岩,,2012-11-26
208475,protolithionite,黑鳞云母,,2012-11-26
208477,Protolepidodendron,原始鳞木,,2012-11-26
208479,Protolepidodendrales,原始鳞木,,2012-11-26
208482,protohistory,原史学,,2012-11-26
208483,protohistoric age,原史时代,,2012-11-26
208486,Protohippus,原马,,2012-11-26
208488,Protohemiptera,古半翅目,,2012-11-26
208489,protogine,绿泥花冈岩,,2014-01-10
208490,protogenous,初生的,,2012-11-26
208491,protogenetic,原生的,,2012-11-26
208494,Protogastropoda,古腹足亚纲,,2012-11-26
208496,protoenstatite,原顽火辉石,,2012-11-26
208498,proto-dolomite,原白雪岩,,2012-11-26
208501,Protocythere,原女神介,,2012-11-26
