ID,英文名稱,中文名稱,圖片,更新日期
261246,radio interferometer,电波干涉仪,,2012-11-26
261247,radio index,电波指数,,2012-11-26
261248,radio heliograph,电波日象仪,,2012-11-26
261249,radio galaxy,电波星系,,2012-11-26
261250,radio emission,电波发射,,2012-11-26
261251,radio dish,电波碟形天线,,2012-11-26
261252,radio direction finding,无线电定向,,2012-11-26
261253,radio diameter,电波直径,,2012-11-26
261254,radio communication,无线电通讯,,2012-11-26
261255,radio brightness,电波亮度,,2012-11-26
261256,radio astronomy,电波天文[学],,2012-11-26
261257,radio astronomical observatory,电波天文台,,2012-11-26
261258,radiator,辐射体,,2012-11-26
261259,radiative transfer,辐射转移,,2012-11-26
261260,radiative temperature gradient,辐射温度梯度,,2012-11-26
261261,radiative recombination,辐射复合,,2012-11-26
261262,radiative equilibrium,辐射平衡,,2012-11-26
261263,radiative envelope,辐射壳,,2012-11-26
261264,radiative cooling,辐射致冷,,2012-11-26
261265,radiative capture,辐射捕获,,2012-11-26
261266,radiative braking,辐射制动,,2012-11-26
261267,radiation-bounded,辐射界限,,2012-11-26
261268,radiation zone,辐射带,,2012-11-26
261269,radiation temperature,辐射温度,,2012-11-26
261270,radiation resistance,辐射电阻,,2012-11-26
261271,radiation receiver,辐射接收器,,2012-11-26
261272,radiation pressure,辐射压[力],,2012-11-26
261273,radiation length,辐射长度,,2012-11-26
261274,radiation flux,辐射通[量],,2012-11-26
261275,radiation flow,辐射流[量],,2012-11-26
261276,radiation field,辐射场,,2012-11-26
261277,radiation era,辐射时代,,2012-11-26
261278,radiation efficiency of antenna,天线辐射效率,,2012-11-26
261279,radiation damping,辐射阻尼,,2012-11-26
261280,radiation belts of earth,地球辐射带,,2012-11-26
261281,radiation,辐射,,2012-11-26
261282,radiating ridge,辐射纹(月面),,2012-11-26
261283,radiating point,辐射点(流星；移动星团),,2012-11-26
261284,radiant intensity,辐射强度,,2012-11-26
261285,radiant flux,辐射通[量],,2012-11-26
261286,radiant energy,辐射能,,2012-11-26
261287,radiant density,辐射点[分布]密度,,2012-11-26
261288,radiant,辐射点(流星；移动星团),,2012-11-26
261289,radiance,辐射率,,2012-11-26
261290,radian,弧度,,2012-11-26
261291,radial velocity curve,视向速度曲线,,2012-11-26
261292,radial velocity,视向速度；径向速度,,2012-11-26
261293,radial pulsation,径向脉动,,2012-11-26
261294,radial motion,径向运动,,2012-11-26
261295,radial momentum,径向动量,,2012-11-26
261296,radar meteor,雷达流星,,2012-11-26
261297,radar echo,雷达回波,,2012-11-26
261298,radar astronomy,雷达天文[学],,2012-11-26
261299,rad,雷得(辐射吸收单位),,2012-11-26
261300,Ra-Shalom,2100号小行星,,2012-11-26
261301,r-process,r—过程(中子快捕获过程),,2012-11-26
261302,R-branch,R—支(光谱),,2012-11-26
261303,R stars,R型星,,2012-11-26
261304,R magnitude,R星等,,2012-11-26
261305,R galaxy,R星系,,2012-11-26
261306,R associations,R星协,,2012-11-26
261307,quiet Sun,宁静太阳,,2012-11-26
261308,quiet solar radio radiation,宁静太阳电波,,2012-11-26
261309,quiescent prominence,宁静日珥,,2012-11-26
261310,quiescence spectrum,宁静光谱,,2012-11-26
261311,quasi-uniform time,准均匀时,,2012-11-26
261312,quasi-stellar [radio] source,类星电波源,,2012-11-26
261313,quasi-stellar object (QSO),类星体,,2012-11-26
261314,quasi-stellar galaxy,类星星系,,2012-11-26
261315,quasi-static process,似静过程,,2012-11-26
261316,quasi-polymer structure,似聚合体结构,,2012-11-26
261317,quasi-eruptive prominence,准爆发日珥,,2012-11-26
261318,quasi-equilibrium state,准平衡态,,2012-11-26
261319,quasi-adiabatic convection,准绝热对流,,2012-11-26
261320,quasar,类星电波源；类星体,,2012-11-26
261321,quartz-polaroid monochromator,石英偏振片单色器,,2012-11-26
261322,quartz spectrograph,石英[棱镜]摄谱仪,,2012-11-26
261323,quartz monochromator,石英单色器,,2012-11-26
261324,quartz clock,石英钟,,2012-11-26
261325,quartet,四重[谱]线；四合系统,,2012-11-26
261326,quarter-wave plate,四分之一波[晶]片,,2012-11-26
261327,quarter,弦(月相),,2012-11-26
261328,quark star,夸克星,,2012-11-26
261329,quark,夸克；阞子,,2012-11-26
261330,quantum yield (in photochemistry),量子产率(光化学),,2012-11-26
261331,quantum theory,量子论,,2012-11-26
261332,quantum statistics,量子统计[学],,2012-11-26
261333,quantum solid,量子固体,,2012-11-26
