ID,英文名稱,中文名稱,圖片,更新日期
2110694,100% inspection,全数检查,,2014-12-31
2110695,a posteriori,后验,,2014-12-31
2110696,a posteriori error bound,后验误差界,,2014-12-31
2110697,a posteriori probability,后验机率,,2014-12-31
2110698,a priori,先验；事前,,2014-12-31
2110699,a priori distribution ; prior distribution,事前分布；事前分配,,2014-12-31
2110700,a priori error bound,先验误差界,,2014-12-31
2110701,a priori estimate,先验估计,,2014-12-31
2110702,a priori probability ; prior probability,事前机率,,2014-12-31
2110703,abacus,算盘,,2014-12-31
2110704,Abel summation formula,Abel求和公式,,2014-12-31
2110705,Abelian category,Abel范畴,,2014-12-31
2110706,Abelian function,Abel函数,,2014-12-31
2110707,Abelian group ; commutative group,Abel群；交换群,,2014-12-31
2110708,Abelian integral,Abel积分,,2014-12-31
2110709,Abelian variety,Abel曲体,,2014-12-31
2110710,Abel's test for convergence,Abel收敛检定,,2014-12-31
2110711,Abel's test for uniform convergence,Abel均匀收敛检定,,2014-12-31
2110712,abnormal curve,非正规曲线,,2014-12-31
2110713,abnormal series,非正规级数,,2014-12-31
2110714,abnormal singularity,非正规奇异点,,2014-12-31
2110715,abnormality,非正规性,,2014-12-31
2110716,abridged division,速除法,,2014-12-31
2110717,abridged multiplication,速乘法,,2014-12-31
2110718,abridged notation,简记法,,2014-12-31
2110719,abscissa,横坐标,,2014-12-31
2110720,absolute address,绝对位址,,2014-12-31
2110721,absolute bound,绝对界限,,2014-12-31
2110722,absolute concept,绝对概念,,2014-12-31
2110723,absolute conic,绝对锥线,,2014-12-31
2110724,absolute constant,绝对常数,,2014-12-31
2110725,absolute contravariant,绝对反变式,,2014-12-31
2110726,absolute convergence,绝对收敛[性],,2014-12-31
2110727,absolute coordinate,绝对坐标,,2014-12-31
2110728,absolute covariant,绝对共变式,,2014-12-31
2110729,absolute derivative,绝对导数,,2014-12-31
2110730,absolute deviation,绝对偏差,,2014-12-31
2110731,absolute differential,绝对微分,,2014-12-31
2110732,absolute differential calculus,绝对微分学,,2014-12-31
2110733,absolute dispersion,绝对离差,,2014-12-31
2110734,absolute error,绝对误差,,2014-12-31
2110735,absolute extremum ; absolutely extreme value,绝对极值,,2014-12-31
2110736,absolute first curvature,绝对第一阶曲率,,2014-12-31
2110737,absolute frequency function,绝对频率函数,,2014-12-31
2110738,absolute geodesic curvature,绝对测地曲率,,2014-12-31
2110739,absolute geometry,绝对几何[学],,2014-12-31
2110740,absolute inequality,绝对不等式,,2014-12-31
2110741,absolute integrability,绝对可积分[性],,2014-12-31
2110742,absolute irreducibility,绝对不可约[性],,2014-12-31
2110743,absolute magnitude,绝对量；绝对值,,2014-12-31
2110744,absolute maximum,最大值；绝对极大值,,2014-12-31
2110745,absolute mean deviation,绝对平均差,,2014-12-31
2110746,absolute minimum,最小值；绝对极小值,,2014-12-31
2110747,absolute moment,绝对动差；绝对级矩,,2014-12-31
2110748,absolute neighbourhood retract,绝对[邻域]回缩核,,2014-12-31
2110749,absolute optimal solution,绝对最佳解,,2014-12-31
2110750,absolute rank,绝对秩,,2014-12-31
2110751,absolute retract,绝对回缩核,,2014-12-31
2110752,absolute scalar,绝对纯量,,2014-12-31
2110753,absolute simplex,绝对单体,,2014-12-31
2110754,absolute stability,绝对稳定[性],,2014-12-31
2110755,absolute summability,绝对可和[性],,2014-12-31
2110756,absolute tensor,绝对张量,,2014-12-31
2110757,absolute tensor field,绝对张量场,,2014-12-31
2110758,absolute term,绝对项,,2014-12-31
2110759,absolute value,绝对值,,2014-12-31
2110760,absolutely additive set function,绝对加性集合函数,,2014-12-31
2110761,absolutely continuous,绝对连续,,2014-12-31
2110762,absolutely convergent,绝对收敛,,2014-12-31
2110763,absolutely convex,绝对凸,,2014-12-31
2110764,absolutely extreme form,绝对极值形式,,2014-12-31
2110765,absolutely injective hull,绝对嵌射包,,2014-12-31
2110766,absolutely integrable,绝对可积分,,2014-12-31
2110767,absolutely irreducible representation,绝对不可约表现,,2014-12-31
2110768,absolutely monotonic,绝对单调,,2014-12-31
2110769,absolutely normal number,绝对正规数,,2014-12-31
2110770,absolutely stable,绝对稳定,,2014-12-31
2110771,absolutely summable,绝对可和[的],,2014-12-31
2110772,absolutely summable series,绝对可和级数,,2014-12-31
2110773,absolutely symmetric function,绝对对称函数,,2014-12-31
2110774,absolutely unbiased estimator,绝对不偏估计式,,2014-12-31
2110775,absorbing,吸收,,2014-12-31
2110776,absorbing boundary condition,吸收边界条件,,2014-12-31
2110777,absorbing set,吸收集,,2014-12-31
2110778,absorbing state,吸收[状]态,,2014-12-31
2110779,absorption law,吸收律,,2014-12-31
2110780,abstract algebra,抽象代数[学],,2014-12-31
2110781,abstract category,抽象范畴,,2014-12-31
2110782,abstract cell complex,抽象胞腔复体,,2014-12-31
