ID,英文名稱,中文名稱,圖片,更新日期
252001,reduced temperature,订正温度,,2012-11-26
252002,reduced pressure,订正气压,,2012-11-26
252004,reduced mass,约化质量,,2012-11-26
252005,reduced incident intensity,约化入射强度,,2012-11-26
252006,reduced gravity,浮力,,2012-11-26
252008,reduced frequency,约化频率,,2012-11-26
252009,reduced form,略式,,2012-11-26
252011,redshift,红移,,2012-11-26
252012,red-noise type,红噪型,,2012-11-26
252013,red tide,红潮,,2012-11-26
252014,Red Spot Hollow,红斑穴,,2012-11-26
252015,red snow,红雪,,2012-11-26
252016,red rain,红雨,,2012-11-26
252017,red noise,红噪,,2012-11-26
252019,red flash,红闪,,2012-11-26
252020,recycled water,再循环水,,2012-11-26
252022,recurved occlusion,后曲囚锢,,2012-11-26
252023,recurvature of storm,风暴转向,,2012-11-26
252024,recurvature latitude,转向纬度,,2012-11-26
252026,recurvature,转向,,2012-11-26
252027,recursion,循环,,2012-11-26
252028,recurring weather,重现天气,,2012-11-26
252029,recurrent period,重现周期,,2012-11-26
252030,recurrent magnetic storm,重现磁暴,,2012-11-26
252032,recurrent flow,回流,,2012-11-26
252033,recurrence interval,重现期,,2012-11-26
252034,recurrence frequency,重现频率,,2012-11-26
252036,recurrence formula,递推公式,,2012-11-26
252037,rectangular grid,矩形网格,,2012-11-26
252038,rectangular function,矩形函数,,2012-11-26
252039,rectangular element,矩形元,,2012-11-26
252041,rectangular curvilinear coordinates,正交曲线坐标,,2012-11-26
252043,rectangular coordinates,正交坐标,,2012-11-26
252044,rectangular Cartesian coordinates,正交卡氏坐标,,2012-11-26
252045,recovery factor,订正因子,,2012-11-26
252047,recording visibility meter,自记能见度计,,2012-11-26
252048,recording theodolite,自记经纬仪,,2012-11-26
252049,recording raingauge,自记雨量计,,2012-11-26
252051,recording psychrometer,自记干湿计,,2012-11-26
252052,recording potentiometer,自记电位计,,2012-11-26
252053,recording pointer,自记笔尖,,2012-11-26
252054,recording pluviometer,自记雨量计,,2012-11-26
252056,recording pen,自记笔,,2012-11-26
252057,recording pan,自记蒸发皿,,2012-11-26
252059,recording ombrometer,自记微雨量计,,2012-11-26
252060,recording observation,记录观测,,2012-11-26
252061,recording lever,自记笔杆,,2012-11-26
252062,recording instrument,自记仪器,,2012-11-26
252063,recording frigorimeter,自记电位计,,2012-11-26
252065,recording equipment,自记设备,,2012-11-26
252066,recording drum,记录筒；钟筒,,2012-11-26
252068,recording cylinder,记录筒；钟筒,,2012-11-26
252070,recording clock,自记钟,,2012-11-26
252071,recording ceilometer,自记云幕计,,2012-11-26
252072,recording barometer,自记气压计,,2012-11-26
252074,recording arm,自记笔杆,,2012-11-26
252075,recording anemometer,自记风速计,,2012-11-26
252076,recording albedometer,自记反照率计,,2012-11-26
252079,recorder,记录器,,2012-11-26
252080,reconnaissance summary,飞行侦察纪要,,2012-11-26
252081,reconnaissance,飞行侦察,,2012-11-26
252082,recon,飞行侦察,,2012-11-26
252083,recombination energy,复合能,,2012-11-26
252086,recombination coefficient,复合系数,,2012-11-26
252087,recombination,复合,,2012-11-26
