ID,英文名稱,中文名稱,圖片,更新日期
3098416,a-pinacoid,A面,,2017-07-19
3098417,A-type collision,A型碰撞,,2017-07-19
3098418,A-type subduction,A型隐没,,2017-07-19
3098419,A/D conversion,类比／数位信号转换,,2017-07-19
3098420,A/D convertor,类比／数位信号转换器,,2017-07-19
3098421,aa-lava,块状熔岩，渣状熔岩，阿阿熔岩,,2017-07-19
3098422,AAPG (American Association of Petroleum Geologists),美国石油地质学家协会,,2017-07-19
3098423,aarite,砷锑镍矿,,2017-07-19
3098424,AAS (atomic absorption spectrometry),原子吸收光谱法,,2017-07-19
3098425,abacus-bead stone,算珠石,,2017-07-19
3098426,abandoned well,废井，放弃井，报废井,,2017-07-19
3098427,abaxial,背部离轴的〔生物〕,,2017-07-19
3098428,ABC method,ABC折射法，ABC法,,2017-07-19
3098429,Abelia,六道木属〔E2-Q〕,,2017-07-19
3098430,abelsonite,镍石,,2017-07-19
3098431,abernathyite,钾砷铀矿,,2017-07-19
3098432,aberration,光行差；变体,,2017-07-19
3098433,abhurite,氯锡矿,,2017-07-19
3098434,abichite,光线矿,,2017-07-19
3098435,Abies,冷杉属〔N-Q〕,,2017-07-19
3098436,Abiespollenites,冷杉粉属〔E-N1〕,,2017-07-19
3098437,Abietineaepollenites,单束松粉属〔E-N1〕,,2017-07-19
3098438,abietinean,松杉的,,2017-07-19
3098439,Abietipites,拟松粉属〔E2〕,,2017-07-19
3098440,abime,大竖坑,,2017-07-19
3098441,abiogenesis,非生物成因，自然发生,,2017-07-19
3098442,ablation,冰融,,2017-07-19
3098443,ablation breccia,消融角砾岩,,2017-07-19
3098444,ablation cone,消融锥,,2017-07-19
3098445,ablatograph,冰融仪,,2017-07-19
3098446,abnormal fault,异常断层,,2017-07-19
3098447,abnormal fluid pressure,异常流体压力,,2017-07-19
3098448,abnormal formation pressure,异常地层压力,,2017-07-19
3098449,abnormal pressure,异常压力,,2017-07-19
3098450,aboral,反口的,,2017-07-19
3098451,abraded bedrock surface,浪蚀基岩面,,2017-07-19
3098452,abrasion,磨蚀,,2017-07-19
3098453,abrasion drilling,冲蚀钻井,,2017-07-19
3098454,abrasion mark,磨蚀痕迹,,2017-07-19
3098455,abrasion platform,海浪蚀台，海蚀平台，海蚀台地,,2017-07-19
3098456,abrasion shoreline,浪蚀海岸线,,2017-07-19
3098457,abrasion surface,海蚀面，浪蚀面,,2017-07-19
3098458,abrasion tableland,海蚀台地，浪蚀台地,,2017-07-19
3098459,abrasion terrace,海蚀阶地，浪蚀阶地,,2017-07-19
3098460,abrazite,水钙沸石,,2017-07-19
3098461,Abrotocrinus,蓬蒿海百合属〔C1〕,,2017-07-19
3098462,Abruptophycus,裂片藻属〔Z2〕,,2017-07-19
3098463,absarokite,阿布沙玄武岩,,2017-07-19
3098464,absolute age,绝对年龄,,2017-07-19
3098465,absolute altitude,绝对高度,,2017-07-19
3098466,absolute calibration,绝对校正,,2017-07-19
3098467,absolute chronology,绝对年代,,2017-07-19
3098468,absolute damping,绝对阻尼,,2017-07-19
3098469,absolute date,绝对年代，绝对年龄,,2017-07-19
3098470,absolute dating,绝对定年，绝对年龄测定,,2017-07-19
3098471,absolute deviation,绝对偏差,,2017-07-19
3098472,absolute elevation,绝对标高,,2017-07-19
3098473,absolute flying height,绝对航高,,2017-07-19
3098474,absolute gravimeter,绝对重力仪,,2017-07-19
3098475,absolute gravity,绝对重力，绝对动力值,,2017-07-19
3098476,absolute gravity measurement,绝对重力测量,,2017-07-19
3098477,absolute measurement,绝对度值,,2017-07-19
3098478,absolute motion of plate,板块的绝对运动,,2017-07-19
3098479,absolute stratigraphic unit,绝对地层单位,,2017-07-19
3098480,absolute temperature,绝对温度,,2017-07-19
3098481,absorbed layer,吸收层,,2017-07-19
3098482,absorbed water,吸附水,,2017-07-19
3098483,absorbing well,排水井,,2017-07-19
3098484,absorptance,吸收率,,2017-07-19
3098485,absorption,吸收，吸附作用,,2017-07-19
3098486,absorption band,吸收频带,,2017-07-19
3098487,absorption coefficient,吸收系数,,2017-07-19
3098488,absorption constant,吸收常数,,2017-07-19
3098489,absorption factor,吸收因子,,2017-07-19
3098490,absorption-dispersion pair,吸收–频散对,,2017-07-19
3098491,abstract,减流,,2017-07-19
3098492,abukumalite,金土磷灰石，阿武隈石,,2017-07-19
3098493,abundance,1.丰富；2.富集度，丰度,,2017-07-19
3098494,abundance anomaly,丰度异常,,2017-07-19
3098495,abundance of element,元素富集度，元素丰度,,2017-07-19
3098496,abysmal area,深海区,,2017-07-19
3098497,abysmal deposit,深海堆积,,2017-07-19
3098498,abysmal facies,深海相,,2017-07-19
3098499,abysmal rock,深海岩石,,2017-07-19
3098500,abysmal sea,深海,,2017-07-19
3098501,abyss,深海，深渊，深湖区,,2017-07-19
3098502,abyssal,深海的，深成的,,2017-07-19
3098503,abyssal (marine) zone,深海带,,2017-07-19
3098504,abyssal activity,深源火山活动,,2017-07-19
3098505,abyssal assimilation,深源同化作用,,2017-07-19
3098506,abyssal association,深海生物组合,,2017-07-19
3098507,abyssal benthic zone,深海底栖带,,2017-07-19
3098508,abyssal benthos,深海底栖生物,,2017-07-19
3098509,abyssal circulation,深海环流,,2017-07-19
3098510,abyssal clay,深海黏土,,2017-07-19
3098511,abyssal cone,深海锥,,2017-07-19
3098512,abyssal current,深海流,,2017-07-19
3098513,abyssal deposit,深海堆积,,2017-07-19
3098514,abyssal dune,深海沙丘,,2017-07-19
3098515,abyssal environment,深海环境,,2017-07-19
3098516,abyssal facies,深海相,,2017-07-19
3098517,abyssal fan,深海扇，海底扇,,2017-07-19
3098518,abyssal fauna,深海动物群,,2017-07-19
3098519,abyssal floor,深海底，深海海床,,2017-07-19
3098520,abyssal fractionation,深海分异作用,,2017-07-19
3098521,abyssal gap,深洋隘口,,2017-07-19
3098522,abyssal hearth,深层生烃热源,,2017-07-19
3098523,abyssal heat recharge,深源热补给,,2017-07-19
3098524,abyssal hill,深海丘陵,,2017-07-19
3098525,abyssal injection,深成贯入，深部注入,,2017-07-19
3098526,abyssal intrusion,深成侵入,,2017-07-19
3098527,abyssal oceanic basin,深海大洋盆地,,2017-07-19
3098528,abyssal oceanography,深海海洋学,,2017-07-19
3098529,abyssal ooze,深海软泥，生物软泥,,2017-07-19
3098530,abyssal pelagic zone,远洋深海带,,2017-07-19
3098531,abyssal plain,深海平原,,2017-07-19
3098532,abyssal province,深海生物区,,2017-07-19
3098533,abyssal region,深海区,,2017-07-19
3098534,abyssal rock,深海岩,,2017-07-19
3098535,abyssal sea,深海,,2017-07-19
3098536,abyssal sediment,深海沉积物,,2017-07-19
3098537,abyssal theory,矿床分化学说,,2017-07-19
3098538,abyssal zone,深海带,,2017-07-19
3098539,abyssinian well,管桩井,,2017-07-19
3098540,abyssoconite,深海钙质软泥,,2017-07-19
3098541,abyssolith,岩基，深成岩体，深岩基,,2017-07-19
3098542,abyssopelagic,深海浮游的,,2017-07-19
3098543,abyssopelagic ecology,远洋深海生态学,,2017-07-19
