ID,英文名稱,中文名稱,圖片,更新日期
3204020,[domain] wall resonance,域壁共振,,2017-07-31
3204021,[magnetic] half-bubble,半[磁]泡,,2017-07-31
3204022,[thin] film optics,薄膜光学,,2017-07-31
3204023,[Zermelo] recurrence paradox,[策梅洛]重现吊诡,,2017-07-31
3204024,1/f noise,1/f杂讯,,2017-07-31
3204025,a posteriori probability,后验机率,,2017-07-31
3204026,a priori estimation,先验推估,,2017-07-31
3204027,a priori probability,先验机率,,2017-07-31
3204028,a-15 superconductor,A-15 超导体,,2017-07-31
3204029,abampere,绝对安培,,2017-07-31
3204030,Abbe condenser,阿贝聚光镜,,2017-07-31
3204031,Abbe criterion,阿贝判据,,2017-07-31
3204032,Abbe invariant,阿贝不变量,,2017-07-31
3204033,Abbe number,阿贝数,,2017-07-31
3204034,Abbe prism,阿贝棱镜,,2017-07-31
3204035,Abbe refractometer,阿贝折射计,,2017-07-31
3204036,Abbe's theory of image formation,阿贝成像理论,,2017-07-31
3204037,Abelian gauge field,阿贝耳规范场,,2017-07-31
3204038,Abelian group,阿贝耳群,,2017-07-31
3204039,aberrated optics,像差光学元件,,2017-07-31
3204040,aberrating medium,像差介质,,2017-07-31
3204041,aberration,像差；光行差｛天文｝,,2017-07-31
3204042,aberration constant,光行差常数｛天文｝,,2017-07-31
3204043,aberration correction,像差修正,,2017-07-31
3204044,aberration function,像差函数,,2017-07-31
3204045,aberration of light,光像差｛天文｝,,2017-07-31
3204046,aberration of reconstructed wave,重建波像差,,2017-07-31
3204047,aberration residuals,剩余像差,,2017-07-31
3204048,aberration-free system,无像差系统,,2017-07-31
3204049,abnormal absorption,反常吸收,,2017-07-31
3204050,abnormal current,反常流,,2017-07-31
3204051,abnormal glow discharge,反常辉光放电,,2017-07-31
3204052,abnormal magnetic moment,反常磁矩,,2017-07-31
3204053,abnormal refraction,反常折射,,2017-07-31
3204054,abnormal Zeeman effect,反常季曼效应,,2017-07-31
3204055,abohm,绝对欧姆,,2017-07-31
3204056,A-Bomb,原子弹,,2017-07-31
3204057,above threshold ionization,超阈值游离,,2017-07-31
3204058,above-critical state,过临界态,,2017-07-31
3204059,above-thermal neutron,超热中子,,2017-07-31
3204060,abradant,磨料,,2017-07-31
3204061,abrasive,磨料,,2017-07-31
3204062,abrasive hardness,耐磨硬度,,2017-07-31
3204063,abscissa,横坐标,,2017-07-31
3204064,absolute acceleration,绝对加速度,,2017-07-31
3204065,absolute ampere,绝对安培,,2017-07-31
3204066,absolute capacity,绝对容量,,2017-07-31
3204067,absolute cross-section,绝对截面,,2017-07-31
3204068,absolute electrometer,绝对静电计,,2017-07-31
3204069,absolute entropy,绝对熵,,2017-07-31
3204070,absolute error,绝对误差,,2017-07-31
3204071,absolute humidity,绝对湿度,,2017-07-31
3204072,absolute index of refraction,绝对折射率,,2017-07-31
3204073,absolute intensity,绝对强度,,2017-07-31
3204074,absolute joule,绝对焦耳,,2017-07-31
3204075,absolute mass unit,绝对质量单位,,2017-07-31
3204076,absolute ohm,绝对欧姆,,2017-07-31
3204077,absolute parallax,绝对视差,,2017-07-31
3204078,absolute permittivity,绝对电容率,,2017-07-31
3204079,absolute photometry,绝对光度学；绝对测光法,,2017-07-31
3204080,absolute pitch,绝对音调,,2017-07-31
3204081,absolute pressure,绝对压力,,2017-07-31
3204082,absolute reference frame,绝对参考系,,2017-07-31
3204083,absolute rest,绝对静止,,2017-07-31
3204084,absolute scattering power,绝对散射功率,,2017-07-31
3204085,absolute space,绝对空间,,2017-07-31
3204086,absolute temperature,绝对温度,,2017-07-31
3204087,absolute time,绝对时间,,2017-07-31
3204088,absolute unit[s],绝对单位,,2017-07-31
3204089,absolute velocity,绝对速度,,2017-07-31
3204090,absolute viscosity,绝对黏滞度,,2017-07-31
3204091,absolute volt,绝对伏特,,2017-07-31
3204092,absolute zero,绝对零度,,2017-07-31
3204093,absorbability,可吸收性,,2017-07-31
3204094,absorbance,吸光率,,2017-07-31
3204095,absorbent,吸收质；吸收体,,2017-07-31
3204096,absorber,吸收器；吸收体,,2017-07-31
3204097,absorbing circuit,吸收电路,,2017-07-31
3204098,absorbing medium,吸收介质,,2017-07-31
3204099,absorbing wedge,吸收[光]楔,,2017-07-31
3204100,absorptiometer,液体吸气计；吸光比色计,,2017-07-31
3204101,absorptiometry,吸光测量学,,2017-07-31
3204102,absorption,吸收,,2017-07-31
3204103,absorption band,吸收[谱]带,,2017-07-31
3204104,absorption cell,吸收盒,,2017-07-31
3204105,absorption coefficient,吸收系数,,2017-07-31
3204106,absorption correction,吸收校正,,2017-07-31
3204107,absorption dip,吸收凹陷,,2017-07-31
3204108,absorption edge,吸收边限,,2017-07-31
3204109,absorption factor,吸收因数；吸收因素,,2017-07-31
3204110,absorption frequency,吸收频率,,2017-07-31
3204111,absorption hologram,吸收全像,,2017-07-31
3204112,absorption jump,吸收跳升,,2017-07-31
3204113,absorption length,吸收长度,,2017-07-31
3204114,absorption limit,吸收极限,,2017-07-31
3204115,absorption line,吸收谱线,,2017-07-31
3204116,absorption liquid,吸收液,,2017-07-31
3204117,absorption loss,吸收损耗,,2017-07-31
3204118,absorption modulation,吸收调制,,2017-07-31
3204119,absorption peak,吸收峰,,2017-07-31
3204120,absorption power,吸收功率,,2017-07-31
3204121,absorption range,吸收范围,,2017-07-31
3204122,absorption rate,吸收率,,2017-07-31
3204123,absorption spectroscopy,吸收光谱学,,2017-07-31
3204124,absorption spectrum,吸收谱,,2017-07-31
3204125,absorption tube,吸收管,,2017-07-31
3204126,absorption unit,吸收单位,,2017-07-31
3204127,absorption wave-meter,吸收式波长计,,2017-07-31
3204128,absorption wedge,吸收[光]楔,,2017-07-31
3204129,absorptive,吸收性；吸收率,,2017-07-31
3204130,absorptive power,吸收功率,,2017-07-31
3204131,abukumalite,阿武隈石；钇矽磷灰石,,2017-07-31
3204132,abundance,丰盛度；含量,,2017-07-31
3204133,abundance measurement,丰盛度量测｛同位素的｝,,2017-07-31
3204134,abundance ratio,丰盛比；含量比,,2017-07-31
3204135,abvolt,绝对伏特,,2017-07-31
3204136,AC bridge,交流电桥,,2017-07-31
3204137,AC circuit,交流电路,,2017-07-31
3204138,AC Josephson effect,交流约瑟夫森效应,,2017-07-31
3204139,AC magnetic biasing,交流偏磁,,2017-07-31
3204140,AC plasma torch,交流电浆喷焰,,2017-07-31
3204141,ac｛alternating current｝,交流[电],,2017-07-31
3204142,AC｛alternating current｝,交流[电],,2017-07-31
3204143,accelerant,催速剂；促进剂｛化学｝,,2017-07-31
3204144,accelerated life test,加速寿命试验,,2017-07-31
3204145,accelerated motion,加速度运动,,2017-07-31
3204146,accelerated observer,加速观察者,,2017-07-31
3204147,accelerated phosphorescence,加速发燐光,,2017-07-31
3204148,accelerating lens,加速[电子]透镜,,2017-07-31
3204149,accelerating potential,加速电位；加速势,,2017-07-31
3204150,accelerating voltage,加速电压,,2017-07-31
3204151,acceleration,加速度,,2017-07-31
3204152,acceleration grid,加速栅极,,2017-07-31
3204153,acceleration of gravity,重力加速度,,2017-07-31
3204154,accelerator,加速器,,2017-07-31
3204155,accelerometer,加速度计,,2017-07-31
3204156,acceptance angle,接收角,,2017-07-31
3204157,acceptor,受子；受体；接受器,,2017-07-31
3204158,acceptor circuit,接受电路；受体电路,,2017-07-31
3204159,acceptor density,受子密度,,2017-07-31
3204160,acceptor impurity level,受子杂质能阶,,2017-07-31
3204161,acceptor ionization energy,受子电离能,,2017-07-31
3204162,acceptor level,受子能阶,,2017-07-31
3204163,acceptor molecule,受体分子,,2017-07-31
3204164,accessible state,可及态,,2017-07-31
3204165,accessory,附件,,2017-07-31
3204166,accessory shock,副震,,2017-07-31
3204167,accidental coincidence,偶然重叠,,2017-07-31
3204168,accidental count,偶然计数,,2017-07-31
3204169,accidental error,偶然误差,,2017-07-31
3204170,accidental radiation injury,意外辐射伤害,,2017-07-31
3204171,accretion disk,蓄积盘,,2017-07-31
3204172,accumulated angle,累积角,,2017-07-31
3204173,accumulative process,累积过程,,2017-07-31
