ID,英文名稱,中文名稱,圖片,更新日期
2789130,1/f noise,低频杂讯,,2017-03-23
2789131,14C-method,碳14法,,2017-03-23
2789132,A horizon,A土层,,2017-03-23
2789133,A00{=OL}horizon,落叶枯枝层,,2017-03-23
2789134,A01{=OF}horizon,发酵层,,2017-03-23
2789135,A02{=OH}horizon,腐植质层,,2017-03-23
2789136,abandoned field,废耕地,,2017-03-23
2789137,abaptation,后继适应,,2017-03-23
2789138,aberration,畸变,,2017-03-23
2789139,abiabatic cooling,绝热冷却,,2017-03-23
2789140,abiocoen,非生物成份栖地；非生物成份生境,,2017-03-23
2789141,abiogenesis; archigenesis; archigony,非生源说；自然发生,,2017-03-23
2789142,abioseston,非生物漂浮物,,2017-03-23
2789143,abiotic,非生物[的],,2017-03-23
2789144,abrupt ecospecies,突发生态种,,2017-03-23
2789145,abrupt succession,急转演替,,2017-03-23
2789146,absolute density,绝对密度,,2017-03-23
2789147,absolute humidity,绝对湿度,,2017-03-23
2789148,absolute maximum fatal temerature,绝对最高致死温度,,2017-03-23
2789149,absolute minimum fatal temerature,绝对最低致死温度,,2017-03-23
2789150,absolute population estimate,绝对族群估值,,2017-03-23
2789151,absolute recruitment,绝对补充量,,2017-03-23
2789152,absolute temperature,绝对温度,,2017-03-23
2789153,absorbancy,吸光率；吸收率,,2017-03-23
2789154,absorbing root,吸收根,,2017-03-23
2789155,absorptiometry,吸光测定法,,2017-03-23
2789156,absorption,吸收[作用],,2017-03-23
2789157,absorption band,吸收[谱]带,,2017-03-23
2789158,absorption coefficient,吸收系数,,2017-03-23
2789159,absorption loss,吸收损耗,,2017-03-23
2789160,absorption spectrum,吸收光谱,,2017-03-23
2789161,abundance,丰度,,2017-03-23
2789162,abundance/frequency ratio{=A/F ratio},丰度-频度比,,2017-03-23
2789163,abundance-biomass curve,丰度-生物量曲线,,2017-03-23
2789164,abyssal benthos,深海底栖生物,,2017-03-23
2789165,abyssal community,深海群聚,,2017-03-23
2789166,abyssal fauna,深海动物相,,2017-03-23
2789167,abyssal hill,深海山丘,,2017-03-23
