ID,英文名稱,中文名稱,圖片,備註,更新日期
13,ripple grass;Plantago,车前草,,,2012-11-26
45,rimose;rimous,有许多裂纹的(如树皮),,,2012-11-26
296,Rhodea japonica Roth,万年青,,,2012-11-26
304,Rhizopus tritici Satio,番薯腐败病菌之一,,,2012-11-26
361,Rhizoctonia oryzae Hara,假稻热病菌之一,,,2012-11-26
480,Rhacoimitrium canescens(Timm)Brid,砂藓,,,2012-11-26
23063,resin sac; resin cyst,树脂囊,,,2012-11-26
23145,replica surface,印影表面,,,2012-11-26
23187,renascent,多年生草木,,,2012-11-26
23191,remnase;rennin;rennet,凝乳酶,,,2012-11-26
23206,relaxation spectrum,缓和顺序,,,2012-11-26
23249,rejoint,再接合,,,2012-11-26
23450,recognition marks,识别标识,,,2012-11-26
23556,Rauia bandaiensis(Broth et Par)Broth,硬羽藓,,,2012-11-26
23573,rate of elongation,伸长速度;伸长率,,,2012-11-26
23663,ramulus,副枝,,,2012-11-26
23696,raising seedling in pot,盆植苗,,,2012-11-26
23701,rain-hating plants;ombrophobes;ombrophobous plants,嫌雨植物,,,2012-11-26
127267,rock vegetation,岩生植被;岩生植物群落(生态),,,2012-11-26
127268,Roccellaceae,海石蕊科,,,2012-11-26
127269,Roccella leucophaea,白海石蕊,,,2012-11-26
127270,Roccella tinctoria D.C.,海石蕊,,,2012-11-26
127271,Roccella,海石蕊属(地衣),,,2012-11-26
127272,Roborowskia,疆菫属(罂粟科),,,2012-11-26
127273,robust coffee;Coffee robusta Lind.,大叶珈琲树,,,2012-11-26
127274,robinoside;robinin,刺槐苷,,,2012-11-26
127275,Robinson，J.T.,洛并生,,,2012-11-26
127276,robinose,刺槐糖,,,2012-11-26
127277,robinin,刺槐苷,,,2012-11-26
127278,Robiniinae,洋槐亚族,,,2012-11-26
127279,Robinia;locust,洋槐属;刺槐属(豆科),,,2012-11-26
127280,Robinia viscosa Vent;clammy locust,黏毛刺槐,,,2012-11-26
127282,Robinia pseudoaceacia L.;black acacia;false acacia;black locust;yellow locust,洋槐;刺槐,,,2012-11-26
133741,radionitrogen,放射性氮,,,2012-11-26
133742,radion,放射粒,,,2012-11-26
133743,radiomutation,放射突变,,,2012-11-26
133744,radiomimetics,类似放射作用的物质,,,2012-11-26
133745,radiomimetic(Dustin 1947),类似放射作用的物质,,,2012-11-26
133746,radiomimetic substance,类似放射作用的物质,,,2012-11-26
133747,radiomicrometer,微量辐射计,,,2012-11-26
133748,radiometry,放射测定法;放射定量术,,,2012-11-26
133749,radiometer,辐射计,,,2012-11-26
133750,radioisotope,放射同位素,,,2012-11-26
133751,radioimmunity assay,放射免疫检定法,,,2012-11-26
133752,radiograph,放射摄影,,,2012-11-26
133753,radiogen,放射质,,,2012-11-26
133754,radiobiology,放射生物学,,,2012-11-26
133755,radioautography,放射自动显影术;放射物质迹像法,,,2012-11-26
133756,radioautograph,放射自显影;放射物质迹像图,,,2012-11-26
133757,radioassay,放射性分析,,,2012-11-26
133758,radioactivity,放射性;放射现象,,,2012-11-26
133759,radioactive wave,放射性波,,,2012-11-26
133760,radioactive tracing,放射性追踪,,,2012-11-26
133761,radioactive substance,放射性物质,,,2012-11-26
133762,radioactive isotope,放射性同位元素,,,2012-11-26
133763,radioactive equilibrium,放射性平衡,,,2012-11-26
133764,radioactive element,放射性元素,,,2012-11-26
133765,radioactive dating,放射定年,,,2012-11-26
133766,radioactive clocks,放射能计时器;原子钟,,,2012-11-26
133767,radioactive carbon; 14C,放射性碳,,,2012-11-26
133768,radioactive calcium,放射性钙,,,2012-11-26
133769,radioactive,放射性的,,,2012-11-26
133770,radioaction,辐射;放射,,,2012-11-26
152512,radio frequency,放射频率,,,2012-11-26
152513,radiculose;radiclosus,被有小根的,,,2012-11-26
152514,radicular,幼根的;小根的,,,2012-11-26
159646,radicula radicle,幼根;种根,,,2012-11-26
159647,radicle;1.radicula;2.rootlet,1.幼根;种根2.细根,,,2012-11-26
159648,radicites,化石根,,,2012-11-26
159649,radiciolous,根内寄生的,,,2012-11-26
159650,radiciflorus,根上生花的,,,2012-11-26
159651,radicellose,有假根的,,,2012-11-26
159652,radicel;radicella,小根,,,2012-11-26
159653,radicate,根生的,,,2012-11-26
159654,radicantia,根著型,,,2012-11-26
159655,radicans;radicant,生根的,,,2012-11-26
159656,radical leaf,根出弃,,,2012-11-26
159657,radical bud,根出芽,,,2012-11-26
159658,radical,根生的;地下茎生的,,,2012-11-26
159659,radiation threshold,辐射限界,,,2012-11-26
159660,radiation susceptibility,放射感受性,,,2012-11-26
159661,radiation sickness,辐射病,,,2012-11-26
159662,radiation loss,辐射损失,,,2012-11-26
159663,radiation injury,放射伤害,,,2012-11-26
159664,radiation induced lethal,放射诱发致死,,,2012-11-26
159665,radiation genetics,放射遗传学,,,2012-11-26
159666,radiation effects,放射效应,,,2012-11-26
159667,radiation constant,辐射常数,,,2012-11-26
159668,radiation dose,放射剂量,,,2012-11-26
159669,radiation,辐射;放射,,,2012-11-26
159670,radiate capitulum,辐射头状花,,,2012-11-26
159671,radiate,辐射的;有舌状花的,,,2012-11-26
159672,radiant heat,辐射热,,,2012-11-26
159673,radiant energy,辐射能,,,2012-11-26
159674,radiant,自中轴分叉的;自中心辐射分出的,,,2012-11-26
159675,radial wall,径间壁,,,2012-11-26
159676,radial vascular bundle;radial bundle,辐射状维管束,,,2012-11-26
159677,radial type,辐射式,,,2012-11-26
159678,radial symmetry,辐射对称,,,2012-11-26
159679,radial strand,辐射束,,,2012-11-26
159680,radial section;edge grain,透心径间切面;径断面;放射面,,,2012-11-26
159681,radial porous wood,放射状孔材,,,2012-11-26
159682,radial pit,放射纹孔,,,2012-11-26
159683,radial movement,放射运动,,,2012-11-26
159684,radial chromatography;circular chromatography,圆形层析法,,,2012-11-26
159685,radial bundle;radial vascular bundle,放射状维管束,,,2012-11-26
159686,radial arrangement,放射状排列,,,2012-11-26
159687,radial,放射状的,,,2012-11-26
159688,radial area,径域,,,2012-11-26
159689,Radermachera,菜豆树属,,,2012-11-26
159690,raciaol character;racial characteristics,种族性状,,,2012-11-26
159691,racial diversity,种族歧异性,,,2012-11-26
159692,rachitasterol;vitamin D,抗佝偻素;维生素丁,,,2012-11-26
159693,rachis,穗轴;叶轴;中轴,,,2012-11-26
