ID,英文名稱,中文名稱,圖片,更新日期
639253,Saetersbergite (Löllingite),直砷铁矿,,2012-11-26
639254,Sätersbergite (Löllingite),直砷铁矿,,2012-11-26
639255,saddle vein,鞍状矿脉,,2012-11-26
639256,saddle-shaped crystal,马鞍状晶体,,2012-11-26
639257,saddle reef,鞍状矿脉,,2012-11-26
639258,Sadanagaite,定永钛闪石,,2012-11-26
639259,Sacrofanite,水钾钙霞石,,2012-11-26
639260,Sacharowait (Sakharovaite),铋脆硫锑铅矿,,2012-11-26
639261,Sachait (Sakhaite),萨哈石﹐碳硼钙镁石,,2012-11-26
639262,Sacchite (Monticellite),钙镁橄榄石,,2012-11-26
639263,saccharoidal marble,砂糖状大理岩,,2012-11-26
639264,saccharoidal,砂糖状的﹐糖粒状的,,2012-11-26
639265,saccharite,砂糖状岩,,2012-11-26
639266,sabulous,砂质的﹐粗砂质的,,2012-11-26
639267,Sabugalite,铝铀云母,,2012-11-26
639268,Sabinaite,碳钛锆钠石,,2012-11-26
639269,Sabieite,铁铵矾,,2012-11-26
639270,Sabatierite,硒铊铜矿,,2012-11-26
639271,Sabalite (Variscite),萨巴磷铝石﹐条带磷铝石,,2012-11-26
639272,Saamite,稀土锶磷灰石,,2012-11-26
639273,S-tectonite,S构造岩,,2012-11-26
639274,S-shaped inclusion,S形包裹体,,2012-11-26
639275,S-L-S growth (solid-liquid-solid growth),（晶体的）固-液-固生长,,2012-11-26
639276,S-garnet,S形石榴子石（扭形石榴子石）,,2012-11-26
639277,ryolite (rhyolite),流纹岩,,2012-11-26
639278,Rynersonite,钽钙石（钽易解石）,,2012-11-26
639279,Ryacolite,透长石（钾长石）,,2012-11-26
639280,Rutilohematite,金红赤铁矿,,2012-11-26
639281,Rutile,金红石,,2012-11-26
639282,Rutherfordite,褐钇铌矿,,2012-11-26
639283,Rutherfordine,纤碳铀矿,,2012-11-26
639284,Ruthenosmiridium,方钇锇铱矿,,2012-11-26
639285,Ruthenosmirid,方钌锇铱矿,,2012-11-26
639286,Ruthenium Sysertskite,钌铱锇矿,,2012-11-26
639287,Ruthenium sulphide,硫钌矿,,2012-11-26
639288,Ruthenium Nevyanskite,钌铱锇矿,,2012-11-26
639289,Ruthenium (Ru),(1)钌 (2)自然钌,,2012-11-26
639290,Rutheniridosmium (Rutheniridosmine),钌铱锇矿,,2012-11-26
639291,Rutheniridosmine,钌铱锇矿,,2012-11-26
639292,ruthenian-Irarsite,钌硫砷铱矿,,2012-11-26
639293,ruthenian-Hollingworthite,钌硫砷铑矿,,2012-11-26
639294,Ruthenarsenite,砷钌矿,,2012-11-26
639295,Rutenite (Jaipurite),块硫钴矿,,2012-11-26
639296,rusty gold,锈膜金,,2012-11-26
639297,Rustumite,氯复矽钙石,,2012-11-26
639298,Rustonite (Ruthenosmiridium),方钌锇铱矿,,2012-11-26
639299,rustless steel,不锈钢,,2012-11-26
639300,Rustite (Ayasite),页壳陨铁,,2012-11-26
639301,rusting,生锈,,2012-11-26
639302,Rustenbergite,方锡铂矿,,2012-11-26
639303,rust proofing,防锈（处理）,,2012-11-26
639304,rust inhibitor,防锈剂,,2012-11-26
639305,rust ball,黄铁矿球,,2012-11-26
639306,Russellite,钨铋矿,,2012-11-26
639307,Rusakovite,水磷钒铁矿,,2012-11-26
639308,runs,(1)细脉 (2)金属品位,,2012-11-26
639309,runite,文象花冈岩,,2012-11-26
639310,run-of-mine ore,原矿,,2012-11-26
639311,run-of-mill,粗矿,,2012-11-26
639312,run of lode,矿脉走向,,2012-11-26
639313,run of gold,富金脉﹐富金带,,2012-11-26
639314,Rumpfite (Prochlorite; Fe-Clinochlorite),淡斜绿泥石,,2012-11-26
639315,Rumanite,罗马尼亚琥珀,,2012-11-26
639316,Rukuhnite,斜水氯铁石,,2020-01-07
639317,Ruizite,水矽锰钙石,,2012-11-26
639318,ruin marble,角砾大理岩,,2012-11-26
639319,ruin Agate,残纹玛瑙,,2012-11-26
639320,ruffite,人造正方锆石,,2012-11-26
639321,rudstone,砾灰岩,,2012-11-26
639322,rudite,砾屑岩,,2012-11-26
639323,rude petroleum,原油,,2012-11-26
639324,rude ore,原矿,,2012-11-26
639325,ruddle (red ocher),代赭石,,2012-11-26
639326,rudaceous,砾状的﹐砾屑的﹐砾质的,,2012-11-26
639327,Rucklidgeite,碲铅铋矿,,2012-11-26
639328,Ruby; star,星彩红宝石,,2012-11-26
639332,Ruby; feminine,雌红宝石,,2012-11-26
639336,Ruby Zinc,红闪锌矿﹐红锌矿,,2012-11-26
639337,Ruby sulphur,雄黄﹐鸡冠石,,2012-11-26
639338,Ruby spinel,红尖晶石,,2012-11-26
639339,Ruby silver (Proustite; Pyrargynite),红银矿,,2012-11-26
639340,Ruby Mica,(1)红色云母 (2)针铁矿,,2012-11-26
639341,Ruby luster,红宝石光泽,,2012-11-26
639342,Ruby Copper (ore),赤铜矿,,2012-11-26
639343,Ruby blende,红银矿,,2012-11-26
639344,Ruby (red Corundum),红宝石,,2012-11-26
639345,Rubrite (Castanite),褐铁矾,,2012-11-26
639346,Rubric,赤铁矿,,2012-11-26
639347,Rubinglimmer,纤铁矿,,2012-11-26
639348,rubingirasol,红猫眼石,,2012-11-26
639349,Rubinblende,红银矿,,2012-11-26
639350,Rubin (Spinel),红尖晶石,,2012-11-26
639351,rubified soil,红土化土壤,,2012-11-26
639352,rubification,红土化作用﹐红壤化作用,,2012-11-26
639353,Rubiesite,杂硫碲铋矿,,2012-11-26
639354,Rubidium-strontium age method,铷锶定年法﹐铷锶法,,2012-11-26
639355,Rubidium microcline,铷微斜长石,,2012-11-26
639356,Rubidium jarosite,铷黄钾铁矾,,2012-11-26
639357,rubidium (Rb),铷,,2012-11-26
639358,Rubidiojarosite (Rubidium jarosite),铷黄钾铁矾,,2012-11-26
639359,Rubicelle (ruby spinel),橙红尖晶石,,2012-11-26
639360,Ruberite (Cuprite),赤铜矿,,2012-11-26
639361,Rubellite (pink Elbaite),红锂电气石﹐红电气石﹐红碧玺,,2012-11-26
639362,Rubellan,红云母,,2012-11-26
639363,rubefication,红土化作用﹐红壤化作用,,2012-11-26
639364,rubblestone,(1)角砾﹐碎石块﹐转石岩 (2)杂砂岩,,2012-11-26
639365,rubblerock,角砾岩,,2012-11-26
639366,rubble ore,粗矿石﹐碎矿石,,2012-11-26
639367,rubble breccia,(1)角砾岩 (2)构造角砾岩,,2012-11-26
639368,rubble,(1)角砾 (2)毛石﹐碎石 (3)坚冰碎片,,2012-11-26
639369,rubbing stone,磨刀石,,2012-11-26
639370,rubberstone,磨石,,2012-11-26
639371,rubber-sulphur (Sulphurite),胶硫矿,,2012-11-26
639372,Rubasse (Rubace; Mont Blanc ruby),红水晶﹐含赤铁水晶,,2012-11-26
639373,Ruarsite,硫砷钌矿,,2012-11-26
639374,Rozhkovite (palladian auricuprite),钯铜金矿,,2012-11-26
639375,Rozenite,四水白铁矾,,2012-11-26
639376,Royite,扁平石英,,2012-11-26
639377,royal Agate,皇家玛瑙﹐杂色黑曜岩,,2012-11-26
639378,Roxbyite,五硫铜矿,,2012-11-26
639379,Rowlandite- (Y),氟矽钇石,,2012-11-26
639380,Roweite,硼锰钙石,,2012-11-26
639381,Rouvilleite,氟碳钙钠石,,2012-11-26
639382,Routhierite,硫砷汞铊矿,,2012-11-26
639383,Rouseite,水砷锰铅矿,,2012-11-26
639384,roundstone conglomerate,圆砾岩,,2012-11-26
639385,roundstone,圆石﹐卵石﹐圆砾石,,2012-11-26
