ID,英文名稱,中文名稱,圖片,更新日期
3645467,"""less than"" cumulative frequency table",以下累积次数表,nan,2019-01-10
3645468,"""more than"" cumulative frequency table",以上累积次数表,nan,2019-01-10
3645469,(bio)sequence analysis,(生物)序列分析,nan,2019-01-10
3645470,10-90 percentile range,10至90百分位距,nan,2019-01-10
3645471,a posteriori comparisons,事后比较,nan,2019-01-10
3645472,a priori comparisons,事前比较,nan,2019-01-10
3645473,a priori probability,事前机率,nan,2019-01-10
3645474,A statistical package for exact nonparametric inference (StatXact),StatXact统计软体,nan,2019-01-10
3645475,Aalen-Johansen estimator,Aalen-Johansen估计量,nan,2019-01-10
3645476,Aalen's linear regression model,Aalen线性回归模型,nan,2019-01-10
3645477,Abbe criterion,Abbe准则,nan,2019-01-10
3645478,Abbe-Helmert criterion,Abbe-Helmert准则,nan,2019-01-10
3645479,Abbot's formula,Abbot公式,nan,2019-01-10
3645480,ABC standard (MIL-STD-105E),美、英、加军用抽样计划标准,nan,2019-01-10
3645481,Abelson-Tukey score test,Abelson-Tukey计分检定,nan,2019-01-10
3645482,ability parameter,能力参数,nan,2019-01-10
3645483,abnormal curve,非常态曲线,nan,2019-01-10
3645484,abnormality,非常态性,nan,2019-01-10
3645485,abridged life table,简易生命表,nan,2019-01-10
3645486,abrupt change,突变,nan,2019-01-10
3645487,abrupt distribution,突出分布,nan,2019-01-10
3645488,absolute continuity,绝对连续性,nan,2019-01-10
3645489,absolute deviation,绝对离差,nan,2019-01-10
3645490,absolute difference,绝对差量,nan,2019-01-10
3645491,absolute dispersion,绝对离散,nan,2019-01-10
3645492,absolute efficiency,绝对效率；绝对有效性,nan,2019-01-10
3645493,absolute efficiency of estimator,估计量的绝对效率；估计量的绝对有效性,nan,2019-01-10
3645494,absolute error,绝对误差,nan,2019-01-10
3645495,absolute frequency,绝对次数,nan,2019-01-10
3645496,absolute measure,绝对量数,nan,2019-01-10
3645497,absolute moment,绝对动差,nan,2019-01-10
3645498,absolute normal scores test,绝对常态计分检定,nan,2019-01-10
3645499,absolute risk,绝对风险,nan,2019-01-10
3645500,absolute threshold,绝对临界,nan,2019-01-10
3645501,absolute variation,绝对变异,nan,2019-01-10
3645502,absolutely unbiased estimator,绝对不偏估计量,nan,2019-01-10
3645503,absorbing barrier,吸收界限,nan,2019-01-10
3645504,absorbing Markov chain,吸收马可夫链,nan,2019-01-10
3645505,absorbing region,吸收域,nan,2019-01-10
3645506,absorbing state,吸收状态,nan,2019-01-10
3645507,absorption coefficient,吸收系数,nan,2019-01-10
3645508,absorption distribution,吸收分布,nan,2019-01-10
3645509,absorption law,吸收律,nan,2019-01-10
3645510,abundance matrix,丰富度矩阵,nan,2019-01-10
3645511,accelerated factor,加速因子,nan,2019-01-10
3645512,accelerated failure time model,加速故障时间模型,nan,2019-01-10
3645513,accelerated hazards model,加速风险模型,nan,2019-01-10
3645514,accelerated life test,加速寿命试验,nan,2019-01-10
3645515,accelerated life testing,加速寿命试验,nan,2019-01-10
3645516,accelerated stochastic approximation,加速随机逼近,nan,2019-01-10
3645517,accelerated test,加速试验,nan,2019-01-10
3645518,acceleration by powering,乘幂加速,nan,2019-01-10
3645519,acceptable process level,允收制程水准,nan,2019-01-10
3645520,acceptable quality,允收品质,nan,2019-01-10
3645521,acceptable quality level (AQL),允收品质水准,nan,2019-01-10
3645522,acceptable reliability level (ARL),允收可靠度水准,nan,2019-01-10
3645523,acceptable risk,可接受风险,nan,2019-01-10
3645524,acceptance,允收；验收,nan,2019-01-10
3645525,acceptance boundary,接受界限；允收界限,nan,2019-01-10
3645526,acceptance coefficient,允收系数,nan,2019-01-10
3645527,acceptance control chart,允收管制图,nan,2019-01-10
3645528,acceptance control limit,允收管制界限,nan,2019-01-10
3645529,acceptance criterion,接受准则；允收准则,nan,2019-01-10
3645530,acceptance error,允收误差；第二型误差,nan,2019-01-10
3645531,acceptance inspection,允收检验,nan,2019-01-10
3645532,acceptance limit,允收界限,nan,2019-01-10
3645533,acceptance line,允收界线,nan,2019-01-10
3645534,acceptance number,允收数,nan,2019-01-10
3645535,acceptance region,接受域；允收域,nan,2019-01-10
3645536,acceptance sampling,允收抽样,nan,2019-01-10
3645537,acceptance sampling by attributes,属性允收抽样；计数值允收抽样,nan,2019-01-10
3645538,acceptance sampling by variables,属量允收抽样；计量值允收抽样,nan,2019-01-10
3645539,acceptance sampling plan,允收抽样计划,nan,2019-01-10
3645540,acceptance sampling scheme,允收抽样方案,nan,2019-01-10
3645541,acceptance testing,允收检定；验收检定,nan,2019-01-10
3645542,acceptance value,允收值,nan,2019-01-10
3645543,acceptance zone,接受区；允收区,nan,2019-01-10
