ID,英文名稱,中文名稱,圖片,更新日期
7639974,80/20 Rule,80/20法则,,2020-05-07
7639975,A Programming Language {=APL},APL程式语言,,2020-05-07
7639976,abbreviated cataloging,简略编目,,2020-05-07
7639977,abbreviation,缩写,,2020-05-07
7639978,abridged edition,节缩版,,2020-05-07
7639979,abridgement,节缩；节缩本,,2020-05-07
7639980,absence circulation system,外借中流通系统,,2020-05-07
7639981,absolute address,绝对位址,,2020-05-07
7639982,absolute language,绝对语言；机器语言,,2020-05-07
7639983,absolute location,绝对位址,,2020-05-07
7639984,abstract,摘要,,2020-05-07
7639985,abstract bulletin,摘要通报,,2020-05-07
7639986,abstract classification,抽象分类,,2020-05-07
7639987,abstract standard,摘要标准,,2020-05-07
7639988,abstracting and indexing service,摘要与索引服务,,2020-05-07
7639989,abstracting and indexing tool {=A&I tool},摘要与索引工具,,2020-05-07
7639990,abstracting and indexing {=A&I},摘要与索引,,2020-05-07
7639991,abstracting service,摘要服务,,2020-05-07
7639992,academic freedom,学术自由,,2020-05-07
7639993,academic librarianship,学术图书馆学；学术图书馆事业；学术图书馆专业,,2020-05-07
7639994,academic library,学术图书馆,,2020-05-07
7639995,academic status,学术职衔地位,,2020-05-07
7639996,Academy of Certified Archivists{=ACA},档案人员认证学会,,2020-05-07
7639997,academy publication,学术机构出版品,,2020-05-07
7639998,access,入口；近用；取用,,2020-05-07
7639999,access censorship,取用检查；取用审查,,2020-05-07
7640000,access copy,取用本,,2020-05-07
7640001,Access Copyright,取用著作权集体组织,,2020-05-07
7640002,access level record,取用层次的书目纪录,,2020-05-07
7640003,access management,取用管理,,2020-05-07
7640004,access point,检索点,,2020-05-07
7640005,access services,取用服务,,2020-05-07
7640006,access time,取用时间,,2020-05-07
7640007,accession,登录,,2020-05-07
7640008,accession book,登录簿,,2020-05-07
7640009,accession catalog,登录目录,,2020-05-07
7640010,accession file,登录档,,2020-05-07
7640011,accession number,登录号,,2020-05-07
7640012,accession order,登录顺序,,2020-05-07
7640013,accession record,登录纪录,,2020-05-07
7640014,accessioning,登录,,2020-05-07
7640015,accident,意外,,2020-05-07
7640016,accompanying material,附件,,2020-05-07
7640017,accordion binding,经折装；经本式装订；手风琴折页装订,,2020-05-07
7640018,accordion fold,经本式折页；手风琴折页,,2020-05-07
7640019,accordion-fold book,经折装图书；手风琴折页书,,2020-05-07
7640020,accountability,责任归属,,2020-05-07
7640021,accreditation of library education,图书馆专业教育认可制度,,2020-05-07
7640022,accreditation standard,认可标准,,2020-05-07
7640023,acetate,醋酸盐胶片,,2020-05-07
7640024,acid-free paper,除酸纸；无酸纸,,2020-05-07
7640025,acidic paper,酸性纸,,2020-05-07
7640026,acoustic ceiling,吸音天花板,,2020-05-07
7640027,acquisition,采购,,2020-05-07
7640028,acquisition number,采购号,,2020-05-07
