ID,英文名稱,中文名稱,圖片,更新日期
3270405,"""Aha"" experience",「啊哈」顿悟经验,,2023-01-17
3270406,16PF(Cattell's 16 personality factor questionnaire),卡特尔十六种人格因素测验,,2023-01-17
3270407,2-deoxyglucose(2-DG),2－去氧葡萄糖,,2023-01-17
3270408,360-degree feedback,360度回馈,,2023-01-17
3270409,360-degree performance appraisals,360度绩效评估,,2023-01-17
3270410,3-methoxy-4-hydroxy phenylglycol(MHPG),3－甲氧基－4羟基苯乙二醇｛注：正肾上腺素之代谢物｝,,2023-01-17
3270411,5-HIAA(5-Hydroxyindoleacetic acid),5－氢氧靛基醋酸、5－羟吲哚乙酸,,2023-01-17
3270412,5-HT(5-hydroxytryptamine),5－羟色胺、血清素,,2023-01-17
3270413,5-HTP(5-hydroxytryptophan),5－羟基色胺酸,,2023-01-17
3270414,5-hydroxindoleacetic acid(5-HIAA),5－羟色胺酸、5－羟吲哚 乙酸｛注：血清素之代谢物｝,,2023-01-17
3270415,6-OHDA(6-hydroxydopamine),6－羟基多巴胺,,2023-01-17
3270416,80/20 principle,80/20定律,,2023-01-17
3270417,80/20 rule,80/20法则,,2023-01-17
3270418,AA(Alcoholics Anonymous),戒酒匿名团体,,2023-01-17
3270419,AAA(Alcoholics Anonymous Association),戒酒匿名协会,,2023-01-17
3270420,AAMD Adaptive Behavior Scale,美国智能障碍学会适应行为量表,,2023-01-17
3270421,AARP(American Association of Retired Persons),美国退休人员协会,,2023-01-17
3270422,ABA own-control research,ABA自我－控制研究,,2023-01-17
3270423,ABA research,ABA（自我－控制）研究,,2023-01-17
3270424,abasement,贬抑,,2023-01-17
3270425,ABC assessment,ABC衡鉴,,2023-01-17
3270426,ABC attitude hierarchies effect,ABC态度阶层效果,,2023-01-17
3270427,ABC model of attitude,态度的ABC模式,,2023-01-17
3270428,ABC model of behavior,行为的ABC模式,,2023-01-17
3270429,ABC model of REBT,理情行为治疗的ABC模式,,2023-01-17
3270430,abducens nerve,外旋神经,,2023-01-17
3270431,abducens nucleus,外旋神经核,,2023-01-17
3270432,abient behavior,畏避行为,,2023-01-17
3270433,ability,能力,,2023-01-17
3270434,ability avoidance goal,能力逃避目标,,2023-01-17
3270435,ability goal,能力目标,,2023-01-17
3270436,ability grouping,能力分组,,2023-01-17
3270437,ability test,能力测验,,2023-01-17
3270438,ability trait,能力特质,,2023-01-17
3270439,ablation,损伤,,2023-01-17
3270440,abnormal,违常、偏态、异常,,2023-01-17
3270441,abnormal behavior,异常行为、违常行为、偏态行为,,2023-01-17
3270442,abnormal psychology,异常心理学、变态心理学｛注：常用，但不适当，不建议使用｝,,2023-01-17
3270443,abnormality,异常、违常、偏态,,2023-01-17
3270444,absence seizure,癫痫小发作,,2023-01-17
3270445,absence state,失神状态,,2023-01-17
3270446,absenteeism,旷职、缺勤,,2023-01-17
3270447,absolute  decisions,绝对决策,,2023-01-17
3270448,absolute error,绝对误差,,2023-01-17
3270449,absolute threshold,绝对阈（限）,,2023-01-17
3270450,absolutism,绝对论,,2023-01-17
3270451,absorption,专注,,2023-01-17
3270452,absorption spectrum,吸收光谱,,2023-01-17
3270453,absorptive phase,吸收期,,2023-01-17
3270454,absoulte zero,绝对零点,,2023-01-17
3270455,abstinence,禁欲、戒瘾,,2023-01-17
3270456,abstinence violation effect(AVE),违反禁戒效应,,2023-01-17
3270457,abstract concept,抽象概念,,2023-01-17
3270458,abstract thinking,抽象思考、抽象思维,,2023-01-17
3270459,abstraction,抽象化（历程）,,2023-01-17
3270460,abulia,意志缺失,,2023-01-17
3270461,abuse,虐待；滥用,,2023-01-17
3270462,academic achievement test,学业成就测验,,2023-01-17
3270463,academic aptitude,学业性向,,2023-01-17
3270464,academic potential test,学业潜力测验,,2023-01-17
3270465,academic underachiever,低学业成就,,2023-01-17
3270466,acalculia,算术缺陷症,,2023-01-17
3270467,acamprosate(Campral),学名：阿坎酸，商品名：坎普拉尔｛注：一种戒酒药物｝,,2023-01-17
3270468,acatamathesia,理解力缺失症,,2023-01-17
3270469,acceptable price range,可接受价格范围,,2023-01-17
3270470,acceptance,接受、接纳,,2023-01-17
3270471,accessibility,易提取性、易触及性,,2023-01-17
3270472,accessibility heuristic,易提取性捷思法、易触及性捷思法,,2023-01-17
3270473,accessory olfactory bulb,副嗅球,,2023-01-17
3270474,accident analysis,事故分析,,2023-01-17
3270475,accident proneness,事故倾向,,2023-01-17
3270476,accidental  homosexuality,偶发性同性恋,,2023-01-17
3270477,accidental error,偶然误差,,2023-01-17
3270478,accident-prone personality,易遭意外性格,,2023-01-17
3270479,acclimatization,适应,,2023-01-17
3270480,accommodation,调适、调节,,2023-01-17
3270481,accommodative learning style,适应型学习风格,,2023-01-17
3270482,accommodative purchase decision,折衷式购买决策,,2023-01-17
3270483,accomplishment age,成就年龄,,2023-01-17
3270484,accountability,负责、责任承担,,2023-01-17
3270485,accountability cues,可解释性线索,,2023-01-17
3270486,accultruation,涵化、文化适应,,2023-01-17
3270487,acculturation agent,涵化媒介、文化适应媒介,,2023-01-17
3270488,accumulative consumption,累积消费,,2023-01-17
3270489,accuracy test,正确性测验,,2023-01-17
3270490,acedia,懒惰；懒惰的罪,,2023-01-17
3270491,acetaldehyde,乙醛,,2023-01-17
3270492,acetylcholine(ACh),乙醯胆碱,,2023-01-17
3270493,acetylcholinesterase(AChE),乙醯胆碱酯化酶,,2023-01-17
3270494,achievement,成就,,2023-01-17
3270495,achievement attributional theory,成就归因理论,,2023-01-17
3270496,achievement goal,成就目标,,2023-01-17
3270497,achievement motivation,成就动机,,2023-01-17
3270498,achievement motivation theory,成就动机理论,,2023-01-17
3270499,achievement need,成就需求,,2023-01-17
3270500,achievement quotient,成就商数,,2023-01-17
3270501,achievement striving,追求成就,,2023-01-17
3270502,achievement test,成就测验,,2023-01-17
3270503,achiever,成就者,,2023-01-17
