ID,英文名稱,中文名稱,圖片,更新日期
3354519,0 to 6-year-old child development screening scale,零至六岁儿童发展筛检量表,,2018-03-20
3354520,abstraction,抽象化,,2018-03-20
3354521,accessibility,无障碍设施,,2018-03-20
3354522,accommodation,调适,,2018-03-20
3354523,accountability,绩效评鉴,,2018-03-20
3354524,accreditation,认可制,,2018-03-20
3354525,achievement tests,成就测验,,2018-03-20
3354526,action research,行动研究,,2018-03-20
3354527,activity level,活动量,,2018-03-20
3354528,adaptability,适应程度,,2018-03-20
3354529,adaptation,适应,,2018-03-20
3354530,Adaptive Behavior Assessment System-second edition {=ABAS-II},适应行为评量系统 (第二版幼儿版),,2018-03-20
3354531,adventure playground,冒险性游戏场,,2018-03-20
3354532,aesthetic education,美感教育；美育,,2018-03-20
3354533,aesthetic experience,审美经验,,2018-03-20
3354534,aggression,攻击,,2018-03-20
3354535,alternative education,另类教育,,2018-03-20
3354536,alternative school,另类学校,,2018-03-20
3354537,altruism,利他行为主义,,2018-03-20
3354538,anal stage,肛门期,,2018-03-20
3354539,analogical reasoning,类比推理,,2018-03-20
3354540,anecdotal record,轶事记录,,2018-03-20
3354541,animism,泛灵论,,2018-03-20
3354542,anthroposophy,人智学,,2018-03-20
3354543,anti-bias curriculum,反偏见课程,,2018-03-20
3354544,anti-intellectualism,反智主义,,2018-03-20
3354545,approach/ withdrawal,趋近或退缩,,2018-03-20
3354546,appropriate use of technology and media,科技与媒体的适切使用,,2018-03-20
3354547,arbitrary inference,任意推断,,2018-03-20
3354548,area objectives,领域目标,,2018-03-20
3354549,art area；art center,美劳区,,2018-03-20
3354550,Art as experience,艺术即经验,,2018-03-20
3354551,artifacts,作品,,2018-03-20
3354552,asocial phase,非社会期,,2018-03-20
3354553,assimilation,同化,,2018-03-20
3354554,assistive technology,辅助科技,,2018-03-20
3354555,at-risk children and families,高风险儿童与家庭,,2018-03-20
3354556,attachment,依附行为,,2018-03-20
3354557,attachment parenting styles,依附教养风格,,2018-03-20
3354558,attention span,注意广度,,2018-03-20
3354559,attention span and persistence,注意广度和坚持度,,2018-03-20
3354560,Attention-deficit hyperactivity disorder {=ADHD},注意力不足过动症,,2018-03-20
3354561,authentic evaluation,真实评量,,2018-03-20
3354562,authoritarian parenting,独裁式教养,,2018-03-20
3354563,authoritative parenting,权威式教养,,2018-03-20
3354564,authority and social-order maintaining orientation,遵守法规取向,,2018-03-20
3354565,autism,自闭症,,2018-03-20
3354566,axial balance,身体中轴的平衡,,2018-03-20
3354567,babbles; babbling,咿咿呀呀；呀语,,2018-03-20
3354568,baby biography,幼儿传记法,,2018-03-20
3354569,Bank street approach,河滨街学前教育模式,,2018-03-20
3354570,Barbinski reflex,巴宾斯反射,,2018-03-20
3354571,Barclay Classroom Climate Inventory {=BCCI},巴克雷班级气氛量表,,2018-03-20
3354572,bedside teaching,床边教学,,2018-03-20
3354573,behavior of courses pedagogy,行为课程教学法,,2018-03-20
3354574,behavioral inhibition,行为抑制,,2018-03-20
3354575,Berry-Buktenica Developmental Test of Visual-Motor Integration {=VMI},拜瑞－布坦尼卡 视觉－动作统整发展测验,,2018-03-20
3354576,bilingual education,双语教学,,2018-03-20
3354577,block area；block center,积木区,,2018-03-20
3354578,bodily-kinesthetic intelligence,肢体-动觉智能,,2018-03-20
3354579,borderland discourse,边界论述,,2018-03-20
3354580,broad-fields curriculum,广域课程,,2018-03-20
3354581,budget analysis,预算分析,,2018-03-20
3354582,bulletin board,布告栏,,2018-03-20
3354583,caregiver ,托育人员,,2018-03-20
3354584,caregiving hypothesis,照顾假说,,2018-03-20
3354585,catching,补抓,,2018-03-20
3354586,catgorical self,分类自我,,2018-03-20
3354587,centration,集中化,,2018-03-20
3354588,cephalocaudal principle,头尾原则,,2018-03-20
3354589,certificate of service,服务证明书,,2018-03-20
3354590,"Chen,Hao Qin",陈鹤琴,,2018-03-20
3354591,child,幼儿,,2018-03-20
3354592,child abuse,儿童虐待,,2018-03-20
3354593,child care center inspection and coaching,托婴中心访视辅导,,2018-03-20
