ID,英文名稱,中文名稱,圖片,更新日期
3390194,3 R's,读写算,,2018-03-21
3390195,a despotism in perilous equilibrium,危险平衡状态的专制,,2018-03-21
3390196,ability grouping within class,班级内能力分组,,2018-03-21
3390197,ability tracking,能力分轨,,2018-03-21
3390198,ability grouping,能力分组,,2018-03-21
3390199,ability streaming,能力分班；能力分流,,2018-03-21
3390200,academic capitaism,学术资本主义,,2018-03-21
3390201,academic colonialism,学术殖民主义,,2018-03-21
3390202,academic curriculum,学术课程,,2018-03-21
3390203,academic dishonesty,学术不诚实,,2018-03-21
3390204,academic freedom,学术自由,,2018-03-21
3390205,academic procession,学术过程,,2018-03-21
3390206,academic program,学术课程,,2018-03-21
3390207,academic radicalism,学术基进主义；学术激进主义,,2018-03-21
3390208,academic self-concept,学术自我观念；学术自我概念,,2018-03-21
3390209,accommodation model,适应方式,,2018-03-21
3390210,acculturation,涵化,,2018-03-21
3390211,achieved identity,成就式认同,,2018-03-21
3390212,achievement,成就,,2018-03-21
3390213,achieved status,获致的地位；成就的地位,,2018-03-21
3390214,achieved characteristics,成就特征,,2018-03-21
3390215,achievement gap,成就落差,,2018-03-21
3390216,ascribed role,归属[的]角色；天赋角色,,2018-03-21
3390217,ascribed status,归属的地位；天赋的地位,,2018-03-21
3390218,achievement ideology,成就的意识型态,,2018-03-21
3390219,achievement motivation,成就动机,,2018-03-21
3390220,achievement press,成就压力,,2018-03-21
3390221,achievement test,成就测验,,2018-03-21
3390222,act,行为,,2018-03-21
3390223,action,行动,,2018-03-21
3390224,action resources,行动资源,,2018-03-21
3390225,action space,行动空间,,2018-03-21
3390226,adequate yearly progress {=AYP},年度进步情形,,2018-03-21
3390227,advanced differentiation,提前分化,,2018-03-21
3390228,affective neutrality,情感中立,,2018-03-21
3390229,affective or emotional action,情绪行动；情感行动,,2018-03-21
3390230,affectivity,情感性,,2018-03-21
3390231,affirmative action,优惠措施；肯定行动,,2018-03-21
3390232,age group,年龄组,,2018-03-21
3390233,agency,施为；能动性；创新行动,,2018-03-21
3390234,agency of socialization,社会化机构,,2018-03-21
3390235,socialization agents,社会化机构,,2018-03-21
3390236,AGIL social system model,帕深思的社会系统模式,,2018-03-21
3390237,alienation,异化；疏离,,2018-03-21
3390238,all-ability groups,混合能力团体,,2018-03-21
3390239,allocation,分配；分派,,2018-03-21
3390240,allocation theory,分配论,,2018-03-21
3390241,alternative school movement,另类学校运动,,2018-03-21
3390242,alternative schools,变通学校；另类学校,,2018-03-21
3390243,alternative ways of knowing,另类认知方式,,2018-03-21
3390244,American association for the educational sociology,美国教育社会学研究协会,,2018-03-21
3390245,Journal of Sociology of Education,教育社会学刊 {美国},,2018-03-21
3390246,American Federation of Teachers,美国教师联盟,,2018-03-21
3390247,anomie,脱序,,2018-03-21
3390248,anti-apartheid,{南非社会}反种族隔离,,2018-03-21
3390249,desegregation,{美国社会}反种族隔离,,2018-03-21
3390250,anticipatory socialization,预期社会化,,2018-03-21
3390251,anti-essentialism,反本质论,,2018-03-21
3390252,anti-intellectualism,反智主义,,2018-03-21
3390253,anti-intellectuall society,反智社会,,2018-03-21
3390254,anti-racism,反种族歧视主义,,2018-03-21
3390255,anti-racist education,反种族主义的教育,,2018-03-21
3390256,Apollonian,阿波罗型；太阳神型,,2018-03-21
3390257,Dionysian,酒神型；戴奥尼型,,2018-03-21
3390258,apprenticeship,学徒制,,2018-03-21
3390259,approval-seeker,赞同的寻求者,,2018-03-21
3390260,aristocratic ideology,贵族意识型态,,2018-03-21
3390261,ascription,归因,,2018-03-21
3390262,assertive group,抗诉团体,,2018-03-21
3390263,assimilation,同化,,2018-03-21
3390264,attendance rate,出席率,,2018-03-21
3390265,authoritarian leadership,威权领导,,2018-03-21
3390266,authoritarianism,威权主义,,2018-03-21
3390267,authority,权威,,2018-03-21
3390268,authority of specialized competence,专门知能的权威,,2018-03-21
3390269,authority-figure,权威形象,,2018-03-21
3390270,autonomy,自主,,2018-03-21
3390271,back stage,后台,,2018-03-21
3390272,Back to the Basics,回归基础学科,,2018-03-21
3390273,Balkanization,巴尔干化,,2018-03-21
3390274,banding,能力分段,,2018-03-21
3390275,banking pedagogy,囤积式教学,,2018-03-21
3390276,base,底层,,2018-03-21
3390277,infrastructure,基础结构,,2018-03-21
3390278,basic repression,基本的压抑,,2018-03-21
3390279,bearer of social relations,社会关系的脚夫,,2018-03-21
3390280,behavioural conformity,行为顺从,,2018-03-21
3390281,bias,偏见；成见,,2018-03-21
3390282,Big business,大生意,,2018-03-21
3390283,bilingual education,双语教育,,2018-03-21
3390284,biological destiny,生物宿命,,2018-03-21
3390285,blaming the victim,责备受害人,,2018-03-21
3390286,block scheduling,区块行事历,,2018-03-21
3390287,blocked-aspiration motive,抱负受阻的动机,,2018-03-21
3390288,bonding capital,凝聚资本；黏著资本,,2018-03-21
3390289,border crossing,跨越边界,,2018-03-21
3390290,boundary crossings,越界,,2018-03-21
3390291,boundary crossings hazardous,碰运气的越界,,2018-03-21
3390292,boundary crossings insurmountable,无法迄及的越界,,2018-03-21
3390293,boundary crossings managed,可掌握的越界,,2018-03-21
3390294,boundary maintenance,疆域维持；领域维持；组织领域的界限,,2018-03-21
3390295,bracket out,放入括弧,,2018-03-21
3390296,British Journal of Sociology of Education,英国教育社会学刊,,2018-03-21
3390297,broken family,破碎家庭,,2018-03-21
3390298,"Brown v. Board of Education of Topeka {Supreme Court, 1954}",布朗判例{美国联邦最高法院，1954},,2018-03-21
3390299,bureaucracy,科层体制；官僚制度,,2018-03-21
3390300,sick bureaucracy,病态科层体制,,2018-03-21
3390301,bureaucratic organization,科层组织；官僚组织,,2018-03-21
3390302,bureaucratization,科层化,,2018-03-21
3390303,capital society,资本社会,,2018-03-21
3390304,capitalist,资本家,,2018-03-21
3390305,career mobility,职业流动；生涯流动,,2018-03-21
3390306,caring ethics,关怀伦理,,2018-03-21
3390307,case studies,个案研究,,2018-03-21
3390308,Caste,种姓制度,,2018-03-21
3390309,caste-like minority,类种姓弱势,,2018-03-21
3390310,Centre for Contemporary Culture Studies {=CCCS},Birmingham大学当代文化研究中心,,2018-03-21
3390311,ceiling theory,天花板理论,,2018-03-21
3390312,central status and role,核心的地位与角色,,2018-03-21
3390313,change agent,变革推动者,,2018-03-21
3390314,charismatic authority,人格感召的权威,,2018-03-21
3390315,charter school,特许学校,,2018-03-21
3390316,child abuse,儿童虐待,,2018-03-21
3390317,childrearing strategy,儿童管教（教养）策略,,2018-03-21
3390318,civic responsibility,公民责任,,2018-03-21
3390319,civil integration,公民整合,,2018-03-21
3390320,civil religion,公民宗教,,2018-03-21
3390321,civil right,公民权,,2018-03-21
3390322,Civil Rights Act,民权法,,2018-03-21
3390323,civilization,文明,,2018-03-21
3390324,clash of civilizations,文明冲突,,2018-03-21
3390325,class consciousness,阶级意识,,2018-03-21
3390326,class reproduction,阶级再制,,2018-03-21
3390327,class-for-itself,自为阶级,,2018-03-21
3390328,closed class system,封闭式阶级制,,2018-03-21
3390329,dominated class,被支配阶级,,2018-03-21
3390330,dual hierarchy,双重层级制度；双重阶级制度,,2018-03-21
3390331,margin class,边际阶级,,2018-03-21
3390332,middle-upper class,中上阶级,,2018-03-21
3390333,open class system,开放式阶级制,,2018-03-21
3390334,petit bourgeoisie,小资产阶级,,2018-03-21
3390335,political class,政治阶级,,2018-03-21
3390336,proletarian,普罗阶级；无产阶级,,2018-03-21
3390337,proletarianization,普罗化；无产阶级化,,2018-03-21
3390338,ruling class,统治阶级,,2018-03-21
3390339,social class,社会阶级,,2018-03-21
3390340,the warrior class,武士阶级,,2018-03-21
3390341,class social system,班级社会体系,,2018-03-21
3390342,classification,分类,,2018-03-21
3390343,classroom climate,班级气氛,,2018-03-21
3390344,classroom interaction,教室互动；课堂互动,,2018-03-21
3390345,classroom knowledge,教室知识,,2018-03-21
3390346,closure of dysfunctional schools,关闭功能不彰学校,,2018-03-21
3390347,co figurative culture,同喻[塑]型文化,,2018-03-21
3390348,code,符码,,2018-03-21
3390349,code theory,符码理论,,2018-03-21
3390350,coeducation,男女合校教育,,2018-03-21
3390351,coercion,强制,,2018-03-21
3390352,coercive institution,强制型制度,,2018-03-21
3390353,coherentism,一致论,,2018-03-21
3390354,Coleman Report,柯尔曼报告,,2018-03-21
3390355,collection code,聚集型符码,,2018-03-21
3390356,collection curriculum,聚集型课程,,2018-03-21
3390357,collective action,集体行动,,2018-03-21
3390358,collective bargaining,集体谈判；集体协商；团体协商,,2018-03-21
3390359,collective behavior,集体行为,,2018-03-21
3390360,collective conscince,集体良心,,2018-03-21
3390361,collective consciousness,集体意识,,2018-03-21
3390362,collective identity,集体认同,,2018-03-21
3390363,group identity,群体认同,,2018-03-21
3390364,collective mobility,集体流动,,2018-03-21
3390365,collective orientation,集体导向,,2018-03-21
3390366,collective responsibility,集体责任,,2018-03-21
3390367,college-for-all,全民大学教育,,2018-03-21
3390368,colonization,殖民化,,2018-03-21
3390369,colorblindness,肤色盲,,2018-03-21
3390370,commodification of knowledge,知识商品化,,2018-03-21
3390371,commodity logic,商品逻辑,,2018-03-21
3390372,common school,公共学校,,2018-03-21
3390373,communitarianism,社群主义,,2018-03-21
3390374,community,社区；共同体；社群,,2018-03-21
3390375,community college,社区学院,,2018-03-21
3390376,"community culture {material, cultural, and psychological}",社区文化｛含物质、制度、与心理文化｝,,2018-03-21
3390377,community development,社区发展,,2018-03-21
3390378,community-centred curriculum,社区中心课程,,2018-03-21
3390379,compartmentalization of knowledge,知识的区隔化,,2018-03-21
3390380,compensatory discrimination,补偿性差别待遇,,2018-03-21
3390381,positive discrimination,积极差别待遇；正向差别待遇,,2018-03-21
3390382,reverse discrimination,逆向的差别待遇；逆向歧视,,2018-03-21
3390383,compensatory education,补偿教育,,2018-03-21
3390384,complete family,完整家庭,,2018-03-21
3390385,complex social organization,复杂社会组织,,2018-03-21
3390386,conceptual framework,概念架构,,2018-03-21
3390387,concientization,意识觉醒,,2018-03-21
3390388,condign power,惩罚权,,2018-03-21
3390389,conditioned power,制约权,,2018-03-21
3390390,conflict of values,价值冲突,,2018-03-21
3390391,conflict theorises,冲突理论,,2018-03-21
3390392,conformity,附从性；顺从性；一致性,,2018-03-21
3390393,consensus theory,和谐论,,2018-03-21
3390394,conservative social movement,保守主义的社会运动,,2018-03-21
3390395,neoconservatism,新保守主义,,2018-03-21
3390396,conspiracy theory,阴谋论,,2018-03-21
3390397,constructionism,建构主义,,2018-03-21
3390398,Consultants’ Concluding Report on Education Reform,教育改革总咨议报告书,,2018-03-21
3390399,consumerism,消费主义,,2018-03-21
3390400,contest mobility,竞争性流动,,2018-03-21
3390401,context-bound,情境取向,,2018-03-21
3390402,contextuality,脉络性,,2018-03-21
3390403,continuation motive,继续的动机,,2018-03-21
3390404,continuing socialization,继续社会化,,2018-03-21
3390405,controled de-control  strategy,松紧并行的策略,,2018-03-21
3390406,coping mechanism,应付机制,,2018-03-21
3390407,coping strategy,应付策略,,2018-03-21
3390408,corporal punishment,体罚,,2018-03-21
3390409,corporate capitalism,公司资本主义,,2018-03-21
3390410,corporatism,法人主义,,2018-03-21
3390411,correspondence principle,符应原理,,2018-03-21
3390412,cosmopolitanism,世界主义,,2018-03-21
3390413,counter socialization,反社会化,,2018-03-21
3390414,counter-culture movement,反文化运动,,2018-03-21
3390415,counter-school culture,反学校文化,,2018-03-21
3390416,credential crisis,文凭危机,,2018-03-21
3390417,credential inflation,学位膨胀；学历贬值,,2018-03-21
3390418,credential society,文凭社会,,2018-03-21
3390419,credentialism,文凭主义,,2018-03-21
3390420,critical consciousness,批判意识,,2018-03-21
3390421,critical multiculturalism,批判的多元文化主义,,2018-03-21
3390422,critical pedagogy,批判教学论；批判教育学,,2018-03-21
3390423,critical realism,批判实在论,,2018-03-21
3390424,cross identification & cross modeling,交互认同及模仿,,2018-03-21
3390425,cross-class grouping,跨班分组,,2018-03-21
3390426,cross-cultural education,跨文化教育,,2018-03-21
3390427,cross-national studies,跨国研究,,2018-03-21
3390428,Crowth Report,克劳瑟报告书 {英国},,2018-03-21
3390429,cruising school,巡回式学校,,2018-03-21
