ID,英文名稱,中文名稱,圖片,更新日期
3545211,aberrant behavior,异常行为,,2018-06-26
3545212,academic learning disabilities,学业性学习障碍,,2018-06-26
3545213,acceleration curriculum,加速课程,,2018-06-26
3545214,accessibility,可及性,,2018-06-26
3545215,Adapted Physical Education{=APE},适应体育,,2018-06-26
3545216,adaptive behavior,适应行为,,2018-06-26
3545217,adaptive equipment,摆位辅具,,2018-06-26
3545218,Advanced Placement {=AP},进阶安置,,2018-06-26
3545219,affective curriculum,情意课程,,2018-06-26
3545220,affective disorders,情感性疾患,,2018-06-26
3545221,age-inappropriate behavior,不适龄行为,,2018-06-26
3545222,Aided Language Modeling {=ALM},辅助性语言示范,,2018-06-26
3545223,Aided Language Stimulation {=ALgS},辅助性语言刺激,,2018-06-26
3545224,alternative assessment,替代性评量(特教),,2018-06-26
3545225,American Sign Language {=ASL},美国手语,,2018-06-26
3545226,Americans with Disabilities Act{=ADA},美国身心障碍者法案,,2018-06-26
3545227,anchor activities,定锚活动,,2018-06-26
3545228,animal-assisted therapy,动物辅助治疗,,2018-06-26
3545229,antisocial personality disorder,反社会性格,,2018-06-26
3545230,anxiety disorders,焦虑性疾患,,2018-06-26
3545231,aphasia,失语症,,2018-06-26
3545232,apraxia,失用症,,2018-06-26
3545233,art therapy,艺术治疗,,2018-06-26
3545234,articulation disorders,构音异常,,2018-06-26
3545235,Ascending Levels of Intellectual Demand{=ALID},智慧需求层次,,2018-06-26
3545236,Asperger's Syndrome,亚斯伯格症,,2018-06-26
3545237,assessment accommodation,评量调整,,2018-06-26
3545238,assessment-based,评量本位,,2018-06-26
3545239,assistive device,辅具,,2018-06-26
3545240,assistive technology,辅助科技,,2018-06-26
3545241,at-risk gifted learner,高风险资优学习者,,2018-06-26
3545242,Attention-Deficit Hyperactivity Disorder {=ADHD},注意力缺陷过动症,,2018-06-26
3545243,audiologist,听力师,,2018-06-26
3545244,audiology,听力学,,2018-06-26
3545245,auditory memory,听觉记忆,,2018-06-26
3545246,auditory-verbal approach,听觉口语法,,2018-06-26
3545247,Augmentative and Alternative Communication {=AAC},扩大性和替代性沟通系统；辅助沟通系统,,2018-06-26
