ID,英文名稱,中文名稱,圖片,更新日期
3255226,1-phenyl-3-pyrazolidone,{冲片}菲尼酮1-3号,,2017-08-08
3255227,16-bit graphics,十六位元图形,,2017-08-08
3255228,2010 Healthy People,{美国}2010健康白皮书,,2017-08-08
3255229,20th Century-Fox,二十世纪福斯电影公司,,2017-08-08
3255230,24-bit graphics,二十四位元图形,,2017-08-08
3255231,24-hour newscast,24小时新闻报导,,2017-08-08
3255232,2B film,2B底片,,2017-08-08
3255233,2D computer animation,2D电脑动画,,2017-08-08
3255234,3-D ads,3D广告,,2017-08-08
3255235,35mm camera,35毫米摄影机；35毫米照相机,,2017-08-08
3255236,3D computer animation,3D电脑动画,,2017-08-08
3255237,3D film,3D电影,,2017-08-08
3255238,3GPP {=3rd Generation Partnership Project},第三代行动通讯合作计划,,2017-08-08
3255239,3rd Generation Partnership Project {=3GPP},第三代行动通讯合作计划,,2017-08-08
3255240,60 Minutes,{美国节目}「六十分钟」,,2017-08-08
3255241,8 vestigial-side band modulation system broadcast {=8-VSB},八残波带调变系统广播,,2017-08-08
3255242,8-bit graphics,八位元图形,,2017-08-08
3255243,8-VSB {=8 vestigial-side band modulation system broadcast},八残波带调变系统广播,,2017-08-08
3255244,8mm film,8毫米电影,,2017-08-08
3255245,9.5mm film,9.5毫米电影,,2017-08-08
3255246,A and B editing,ab带剪接,,2017-08-08
3255247,A and B wind,分侧卷片,,2017-08-08
3255248,a flash point,引爆点,,2017-08-08
3255249,a la carte advertising,单选广告,,2017-08-08
3255250,a la carte channel,单选频道,,2017-08-08
3255251,a take,好的镜头,,2017-08-08
3255252,a wind,A卷[绕]片,,2017-08-08
3255253,a-picture,a级片,,2017-08-08
3255254,A. C. Nielsen,Nielsen公司,,2017-08-08
3255255,A/C,交流电源,,2017-08-08
3255256,A/D {=Analog to Digital} converter,类比／数位转换器,,2017-08-08
3255257,AAA {=American Arbitration Association},美国仲裁协会,,2017-08-08
3255258,AAAA {=American Association of Advertising Agencies},美国广告代理商协会,,2017-08-08
3255259,AAC {=advanced audio coding},先进音讯编码,,2017-08-08
3255260,AAF {=American Advertising Federation},美国广告协会,,2017-08-08
3255261,AAL {=ATM adaptation layer},非同步传输模式适应层,,2017-08-08
3255262,AAPC {=American Association of Political Consultants},美国政治咨询协会,,2017-08-08
3255263,AAPOR {=American Association for Public Opinion Research},美国民意研究学会,,2017-08-08
3255264,AB-roll editing,AB卷剪辑,,2017-08-08
3255265,ABA {=Australian Broadcasting Authority},澳洲广播管理局,,2017-08-08
3255266,ABC {=American Broadcasting Company},美国广播公司,,2017-08-08
3255267,ABC {=American Broadcasting Company} News,美国广播公司新闻,,2017-08-08
3255268,ABC {=Audit Bureau of Circulation},发行量稽核局,,2017-08-08
3255269,ABC {=Australian Broadcasting Corporation},澳洲广播公司,,2017-08-08
3255270,ABCN {=Asia Broadcasting and Communications Network},亚洲广播视讯网,,2017-08-08
3255271,abdominal pain,腹痛,,2017-08-08
3255272,aberrant decoding,歧异解码,,2017-08-08
3255273,aberration,逸轨；像差,,2017-08-08
3255274,ABIEN {=Advanced Broadband Integrated e-Service Network},{台湾}先进宽频e化服务网路,,2017-08-08
3255275,abjection,弃却,,2017-08-08
3255276,ABL {=automatic black level control},自动黑阶控制,,2017-08-08
3255277,above-the-line personnel,线上人力,,2017-08-08
3255278,ABR {=Audit Bureau of Rating},收视率稽核组织,,2017-08-08
3255279,abrasion,{底片}刮痕,,2017-08-08
3255280,abrasion mark,{底片}刮痕,,2017-08-08
3255281,abrasion resistance,抗磨性,,2017-08-08
3255282,absence,缺席；不在场；隐缺,,2017-08-08
3255283,absentee ballots,缺席投票；不在籍投票,,2017-08-08
3255284,absentee voting,缺席投票,,2017-08-08
3255285,absolute cost advantage,绝对成本优势,,2017-08-08
3255286,absolute film,绝对电影,,2017-08-08
3255287,absolute temperature,绝对温度,,2017-08-08
3255288,absolutism,绝对主义,,2017-08-08
3255289,absorbed dose,吸收剂量,,2017-08-08
3255290,absorbent,吸附剂,,2017-08-08
3255291,absorption,吸光；吸收,,2017-08-08
3255292,absorption current,电流吸收,,2017-08-08
3255293,absorption maximum,最大吸收；吸收峰,,2017-08-08
3255294,absorption spectrum,吸收光谱,,2017-08-08
3255295,abstinence,停止使用；禁欲,,2017-08-08
3255296,abstract film,抽象电影,,2017-08-08
3255297,ABU {=Asia Pacific Broadcasting Union},亚太广播电视联盟,,2017-08-08
3255298,abundance principle,充裕原则,,2017-08-08
3255299,abuse of process,程序滥用,,2017-08-08
3255300,AC charger/adaptor,交流电充电器／转接器,,2017-08-08
3255301,ACA {=Austrian Communications Authority},奥地利广电局,,2017-08-08
3255302,Academic editing,影艺学院式剪接,,2017-08-08
3255303,Academy aperture,影艺学院片门,,2017-08-08
3255304,Academy awards,奥斯卡金像奖,,2017-08-08
3255305,Academy leader,影艺学院导片,,2017-08-08
3255306,Academy mask,影艺学院遮片,,2017-08-08
3255307,Academy of Motion Picture Arts & Science,美国影艺学院,,2017-08-08
3255308,Academy standards,影艺学院标准,,2017-08-08
3255309,ACC {=automatic chroma control circuit},色度自动调节回路,,2017-08-08
3255310,ACCC {=Australia Competition & Consumer Commission},澳洲竞争与消费者委员会,,2017-08-08
3255311,accelerated montage,加速蒙太奇,,2017-08-08
3255312,accelerator,{显影}促进剂,,2017-08-08
3255313,accenting,增强；口音,,2017-08-08
3255314,acceptability of risk,风险接受度,,2017-08-08
3255315,acceptable daily intake {=ADI},每日可接受摄取量,,2017-08-08
3255316,acceptable risk,可接受风险,,2017-08-08
3255317,acceptable use policy {=AUP},可接受的使用条款,,2017-08-08
3255318,acceptance fee,许可费,,2017-08-08
3255319,access channel,近用频道；进用频道,,2017-08-08
3255320,access charge,接取费用,,2017-08-08
3255321,access directive,{欧盟}接取指令,,2017-08-08
3255322,access fee,接续费,,2017-08-08
3255323,access network,接取网路,,2017-08-08
3255324,access point {=AP},存取点；网路桥接器,,2017-08-08
3255325,access right,近用权；进用权,,2017-08-08
3255326,access service,接续服务,,2017-08-08
3255327,access standard,接取标准,,2017-08-08
3255328,access-related condition,近用相关条件；进用相关条件,,2017-08-08
3255329,accessibility,近用性；进用性；可近用性；可进用性,,2017-08-08
3255330,accessibility to children,儿童近用；儿童进用,,2017-08-08
3255331,accessory,附件；辅助设备,,2017-08-08
3255332,accessory shoe,附件插座槽,,2017-08-08
3255333,accidental sampling,偶遇抽样,,2017-08-08
3255334,accommodation,调和,,2017-08-08
3255335,account,客户,,2017-08-08
3255336,account executive {=AE},业务人员,,2017-08-08
3255337,account hijacking,帐号窃取,,2017-08-08
3255338,account management information system {=AMIS},客户管理资讯系统,,2017-08-08
3255339,account of profits,利润考量,,2017-08-08
3255340,account planning,业务企画,,2017-08-08
3255341,account supervisor,业务督导,,2017-08-08
3255342,accountability,责任,,2017-08-08
3255343,accountability principle,问责原则,,2017-08-08
3255344,accounting information system {=AIS},会计资讯系统,,2017-08-08
3255345,accounting rate,分摊费率,,2017-08-08
3255346,accreditation,认证；审定,,2017-08-08
3255347,accreditation program,认证方案,,2017-08-08
3255348,accredited journalist,特派记者 ,,2017-08-08
3255349,accretion measure,附加测量,,2017-08-08
3255350,acculturation,文化涵化；文化适应；文化同化,,2017-08-08
3255351,accuracy,精确；正确；准确,,2017-08-08
3255352,acetate,醋酸基,,2017-08-08
3255353,acetate film,醋酸盐胶片,,2017-08-08
3255354,acetate-base film,醋酸银基底片,,2017-08-08
3255355,acetic acid,醋酸,,2017-08-08
3255356,acetyl cellulose,醋酸纤维素；乙醯纤维素,,2017-08-08
3255357,achievement motivation theory,成就动机理论,,2017-08-08
3255358,achromat,消色差；消色差透镜,,2017-08-08
3255359,achromatic color,消色；去色,,2017-08-08
3255360,achromatic lens,消色差透镜；消色差镜头,,2017-08-08
3255361,achrony,含混,,2017-08-08
3255362,acid developer,酸性显影液,,2017-08-08
3255363,acid fixer,酸性定影液,,2017-08-08
3255364,acid hardener,酸性固膜液,,2017-08-08
3255365,acid hardening fixer,酸性固膜定影液,,2017-08-08
3255366,acid stop bath,酸性停制液；酸性停显液,,2017-08-08
3255367,acid-processed gelatin,酸性处理胶片；酸性胶,,2017-08-08
3255368,ACLU {=American Civil Liberties Union},美国公民自由联盟,,2017-08-08
3255369,ACMA {=Australian Communications and Media Authority},澳洲通讯及媒体局,,2017-08-08
3255370,acoustics,音响学,,2017-08-08
3255371,ACPA {=Anti-cybersquatting Consumer Protection Act},{美国}反网路抢注消费者保护法,,2017-08-08
3255372,acquired immunodeficiency syndrome {=AIDS},爱滋病；后天免疫缺乏症候群,,2017-08-08
3255373,acquired susceptibility,后天易感性,,2017-08-08
3255374,acquisition and distribution,采购与发行,,2017-08-08
3255375,acquisition television program,外购电视节目,,2017-08-08
3255376,act sequences,{口语}行动历程,,2017-08-08
3255377,ACT {=Action for Children's Television},{美国}儿童电视行动组织,,2017-08-08
3255378,actant,行动者,,2017-08-08
3255379,acteur,演员,,2017-08-08
3255380,acting,表演,,2017-08-08
3255381,actinometer,测光计；光化强度计,,2017-08-08
3255382,action,行动,,2017-08-08
3255383,action advertising,行动广告,,2017-08-08
3255384,action film,动作片,,2017-08-08
3255385,Action for Children's Television {=ACT},{美国}儿童电视行动组织,,2017-08-08
3255386,action network,行动联播网,,2017-08-08
3255387,action plan,行动计划,,2017-08-08
3255388,action program,行动方案,,2017-08-08
3255389,Action Programme to Promote the Development of the European Audio Visual Industry,促进发展欧洲视听工业行动方案,,2017-08-08
3255390,action research,行动研究,,2017-08-08
3255391,action script,动态脚本语言,,2017-08-08
3255392,action stage,行动期,,2017-08-08
3255393,action step,行动阶段,,2017-08-08
3255394,action theory,行动理论,,2017-08-08
3255395,action zone,行动区,,2017-08-08
3255396,action-oriented community diagnosis,行动导向社群诊断,,2017-08-08
3255397,activated sludge process,活性污泥法,,2017-08-08
3255398,activation effect,催化效果,,2017-08-08
3255399,active attribute,主动属性,,2017-08-08
3255400,active audience,主动阅听人,,2017-08-08
3255401,active communicator,主动传播者,,2017-08-08
3255402,active content,动态内容,,2017-08-08
3255403,active gelatin,活性胶片,,2017-08-08
3255404,active listening,积极倾听,,2017-08-08
3255405,active matrix,主动式矩阵,,2017-08-08
3255406,active meter,主动式计数表,,2017-08-08
3255407,active repeater satellite,主动式回复卫星,,2017-08-08
3255408,active voter model,积极投票模式,,2017-08-08
3255409,activism,行动主义,,2017-08-08
3255410,activist-advocate,行动主义倡议者,,2017-08-08
3255411,activities of daily living {=ADL},日常生活活动,,2017-08-08
3255412,actor,演员,,2017-08-08
3255413,acts,行动,,2017-08-08
3255414,actual consumer,实质消费者,,2017-08-08
3255415,actual malice,真实恶意,,2017-08-08
3255416,actual sound,真实声音,,2017-08-08
3255417,actualization,实现,,2017-08-08
3255418,acuitycutance developer,高锐度显影液,,2017-08-08
3255419,acutance,锐度,,2017-08-08
3255420,acutance development,高锐度显影,,2017-08-08
3255421,acute disease,急性病,,2017-08-08
3255422,ad hoc network,临时网路；随建即连网路,,2017-08-08
3255423,ad hoc sample,特定样本,,2017-08-08
3255424,ad hominem attack,人身攻击,,2017-08-08
3255425,ad network,{网页}广告仲介,,2017-08-08
3255426,ad request,{网页}广告点选,,2017-08-08
3255427,ad watch,广告监看,,2017-08-08
3255428,AD {=authorized domain},授权领域,,2017-08-08
3255429,ad-lib,即席演说；即席表演,,2017-08-08
3255430,ad-lib live report,即席现场报导,,2017-08-08
3255431,adaptation,适应；调整；{广告}在地改编,,2017-08-08
3255432,adaptive modulation,可适性调变,,2017-08-08
3255433,adaptor,适应动作；插座；整流器,,2017-08-08
3255434,ADC {=analog-to-digital converter},类比数位转换器,,2017-08-08
3255435,addiction,成瘾,,2017-08-08
3255436,additional protocol,附加协定,,2017-08-08
3255437,additive color,加色法、加色,,2017-08-08
3255438,additive color printer,加色印片机,,2017-08-08
3255439,additive color process,加色法处理,,2017-08-08
3255440,additive complementary color,加层补色,,2017-08-08
3255441,additive mixture,加色混色法,,2017-08-08
3255442,additive primaries,三原色加色,,2017-08-08
3255443,additive printer,加色[法]印片机,,2017-08-08
3255444,additive printing,加色[法]印片,,2017-08-08
3255445,additive process,加色过程,,2017-08-08
3255446,additive task,附加任务,,2017-08-08
3255447,address,位址,,2017-08-08
3255448,address code,位址代码,,2017-08-08
3255449,address translator,位址转换器,,2017-08-08
3255450,addressable,可定址的,,2017-08-08
3255451,addressable converter,定址转换器,,2017-08-08
3255452,addressing,定址,,2017-08-08
3255453,addressing mode,定址模式,,2017-08-08
3255454,addressing space,定址空间；位址空间,,2017-08-08
3255455,ADDS {=Audio Digital Distribution Service},声频数位传送服务,,2017-08-08
3255456,adherography,胶印法,,2017-08-08
3255457,adherometer,附著力测定仪；黏附试验机,,2017-08-08
3255458,ADI {=acceptable daily intake},每日可接受摄取量,,2017-08-08
3255459,ADI {=Area of Dominant Influence},{收视率}主要影响区,,2017-08-08
3255460,adjacency effect,邻近效应,,2017-08-08
3255461,adjacent channel interference,邻频干扰,,2017-08-08
3255462,adjourning stage,终止阶段,,2017-08-08
3255463,adjustable masking frame,可调式遮框,,2017-08-08
3255464,adjustment error,调整误差,,2017-08-08
3255465,adjuvant,佐剂,,2017-08-08
3255466,ADL {=activities of daily living},日常生活活动,,2017-08-08
3255467,administrative charge,行政规费,,2017-08-08
3255468,administrative plan,施政计划,,2017-08-08
3255469,administrative process,行政程序,,2017-08-08
3255470,administrative reform,行政改革,,2017-08-08
3255471,administrative regulation,行政规范,,2017-08-08
3255472,adolescent pregnancy prevention campaign,青少年怀孕防治宣导,,2017-08-08
3255473,adolescent sexuality,青少年性欲、性行为与性发展,,2017-08-08
3255474,adopter category,采用者类别；接受者类别,,2017-08-08
3255475,adoption model,采用模式,,2017-08-08
3255476,ADR {=alternative dispute resolution},替代性争议解决,,2017-08-08
3255477,ADR {=automatic dialogue replacement},自动对话替换,,2017-08-08
3255478,ADSL circuit {=Asymmetrical Digital Subscriber Line circuit},非对称数位用户回路电路,,2017-08-08
3255479,ADSL {=Asymmetrical Digital Subscriber Line},非对称数位用户回路,,2017-08-08
3255480,ADSL {=Asynchronous Digital Subscriber Loop},非对称用户回路,,2017-08-08
3255481,ADTB-T {=Advanced Digital Television Broadcasting System-Terrestrial},先进数位电视广播─地面系统,,2017-08-08
3255482,adult contemporary,{类型电台}成人当代音乐,,2017-08-08
