ID,英文名稱,中文名稱,圖片,備註,更新日期
3364750,a posteriori probability,后天机率,,,2018-03-21
3364751,a prior distribution,先天分配,,,2018-03-21
3364752,a priori probability,先天机率,,,2018-03-21
3364753,abnormal class,异常阶级,,,2018-03-21
3364754,abnormality,异常,,,2018-03-21
3364755,abridged life table,简易生命表,,,2018-03-21
3364756,absentee landlord,不在地地主,,,2018-03-21
3364757,absentee ownership,不在地主所有权,,,2021-11-09
3364758,absentee voting,不在地投票,,,2018-03-21
3364759,absenteeism,不在地地主制；旷工,,,2018-03-21
3364760,absolute deprivation,绝对剥夺,,,2018-03-21
3364761,absolute mobility,绝对流动,,,2018-03-21
3364762,absolute monarchy,专制君主政体；绝对王权,,,2018-03-21
3364763,absolute poverty,绝对贫穷,,,2018-03-21
3364764,absolute rate of mobility,绝对流动率,,,2018-03-21
3364765,absolute state,绝对王权国家,,,2018-03-21
3364766,absolute surplus value,绝对剩余价值,,,2018-03-21
3364767,absolutism,绝对王权[制]；绝对论,,,2018-03-21
3364768,abstract empiricism,抽象实征主义,,,2018-03-21
3364769,abstract labor,抽象劳动,,,2018-03-21
3364770,abstracted empiricism,抽象经验论,,,2018-03-21
3364771,academic deviance,学术偏差；学术非行,,,2018-03-21
3364772,academic machismo,学术大男人主义,,,2018-03-21
3364773,accessibility,可及性；近用性,,,2018-03-21
3364774,accidental sampling,偶遇抽样,,,2018-03-21
3364775,accommodation,顺应,,,2018-03-21
3364776,accredition,认证,,,2018-03-21
3364777,acculturation,涵化,,,2018-03-21
3364778,achievement motivation,成就动机,,,2018-03-21
3364779,acquired character,习染性格,,,2018-03-21
3364780,acquired immune deficiency syndrome {=AIDS},后天免疫缺乏症候群；爱滋病,,,2018-03-21
3364781,acquisitive impulse,贪求冲动,,,2018-03-21
3364782,acquisitive society,贪求社会,,,2018-03-21
3364783,acting crowd,行动群众,,,2018-03-21
3364784,action,行动,,,2018-03-21
3364785,action frame of reference,行动参考架构,,,2018-03-21
3364786,action research,行动研究,,,2018-03-21
