ID,英文名稱,中文名稱,圖片,更新日期
3286380,4-H Club,四健会,,2018-03-15
3286381,Abandonment,遗弃,,2018-03-15
3286382,Able-bodied Poor,健壮的穷人,,2018-03-15
3286383,Aboriginal Policy,原住民政策,,2018-03-15
3286384,Aboriginal Social Welfare Administration,原住民社会福利行政,,2018-03-15
3286385,Absolute Needs,绝对需求,,2018-03-15
3286386,Absolute Poverty,绝对贫穷,,2018-03-15
3286387,Abuse of Older People,老人虐待,,2018-03-15
3286388,Elder Abuse,老人虐待,,2018-03-15
3286389,Abused Woman,受虐妇女,,2018-03-15
3286390,Academic Approach,学院式取向,,2018-03-15
3286391,Academy of Certified Social Workers,合格社会工作师学会,,2018-03-15
3286392,Acceptance,接纳,,2018-03-15
3286393,Accessibility,可近性,,2018-03-15
3286394,Accident Rate,意外事故率,,2018-03-15
3286395,Accountability,责信；课责,,2018-03-15
3286396,Acculturation,涵化,,2018-03-15
3286397,Achievement Motivation,成就动机,,2018-03-15
3286398,Action Design,行动设计,,2018-03-15
3286399,Action Research,行动研究,,2018-03-15
3286400,Action-based Behavioural Approach,行动为基础的行为途径,,2018-03-15
3286401,Activation,积极促进 {参与劳动市场或社区},,2018-03-15
3286402,Activation measure effect,积极促进就业方案效应；活化就业方案效应,,2018-03-15
3286403,Active Aging,活力老化,,2018-03-15
3286404,Activities of Daily Living {=ADL},日常生活活动功能,,2018-03-15
3286405,Additional Benefits,附加给付,,2018-03-15
3286406,Adjustment,适应,,2018-03-15
3286407,Adopted Children,养子女,,2018-03-15
3286408,Adoption,收养,,2018-03-15
3286409,Adoptive Families,收养家庭,,2018-03-15
3286410,Adult Day Care,成人日间照顾,,2018-03-15
3286411,Adult Day Services,成人日间服务,,2018-03-15
3286412,Adult Education,成人教育,,2018-03-15
3286413,Adult Protective Services {=APS},成人保护服务,,2018-03-15
3286414,Adverse Selection,逆选择,,2018-03-15
3286415,Advocacy,倡导；倡议；辩护,,2018-03-15
3286416,Affirmative Action,平权行动,,2018-03-15
3286417,AFL-CIO,美国劳工暨产业工会联盟,,2018-03-15
3286418,After-school Care,课后照顾,,2018-03-15
3286419,Age Discrimination,年龄歧视,,2018-03-15
3286420,Ageism,老人歧视；老年歧视,,2018-03-15
3286421,Agency for International Development,国际开发总署,,2018-03-15
3286422,Aging and Disability Resource Center {=ADRC},高龄与身心障碍资源中心,,2018-03-15
3286423,Aging in Place,在地老化,,2018-03-15
3286424,Aging Society,高龄化社会,,2018-03-15
3286425,Aging Theories,老化理论,,2018-03-15
3286426,Agricultural Insurance,农业保险,,2018-03-15
3286427,Aid to Dependent Children,未成年子女之单亲扶助,,2018-03-15
3286428,Aid to Families with Dependent Children {=AFDC},有依赖儿童之家庭补助,,2018-03-15
3286429,AIDS,后天免疫缺乏症候群,,2018-03-15
3286430,Al-Anon Family Group,戒酒者家属团体,,2018-03-15
3286431,Alcoholics Anonymous,戒酒者匿名会,,2018-03-15
3286432,Alcoholism,酒瘾,,2018-03-15
3286433,Alimony,赡养费,,2018-03-15
3286434,Allocation de Parent Isolé {=API},单亲家庭津贴{法语},,2018-03-15
3286435,Allocation Formula,分配公式,,2018-03-15
3286436,Allocation Veuvage {=AV},寡妇津贴{法语},,2018-03-15
3286437,Almshouse,济贫院,,2018-03-15
